OrthoSymbol	africanFrog	americanAlligator	americanEel	axolotl	bambooShark	barnOwl	beardedDragon	blindMoleRat	brownRat	budgerigar	canary	cat	catshark	chicken	cod	commonBuzzard	commonKestrel	cow	crabMacaque	daubentonBat	dog	eagleOwl	egyptianBat	emu	flavescentPeacockFish	garterSnake	giltheadBream	goldenEagle	gosHwak	greenAnole	groundBoa	groundSquirrel	harpyEagle	hawaiianCrow	honeyguide	hoodedCrow	horse	human	japaneseGecko	labMouse	littleOwl	mallardDuck	marmoset	minkeWhale	mousebird	nancymaMonkey	northernPike	oceanJacket	oldwife	oliveBaboon	opossum	orientalScopsOwl	ostrich	peregrineFalcon	pig	pigeon	quail	redStingray	rhesusMacaque	roundleafBat	sacwingedBat	sandRat	sparrowHawk	spottedGar	sunangel	tawnyOwl	tuna	uralOwl	westernFrog	whiteWagtail	yangtzeCatfish	zebraShark	zebrafinch	zebrafish
SNX9	snx9.L,snx9.S	SNX9	snx9a	SNX9	snx9b	SNX9	SNX9	Snx9	Snx9	SNX9	SNX9	SNX9	zdhhc14	SNX9	LOC115541901,snx9b	SNX9	ENSFTIG00000013982	SNX9	SNX9	SNX9	SNX9	ENSBOBG00000009384	SNX9	SNX9	LOC115793652,snx9b	SNX9	LOC115576641,snx9b	SNX9	SNX9	snx9	SNX9	Snx9	SNX9	SNX9	SNX9	SNX9	SNX9	SNX9	SNX9	Snx9	SNX9	SNX9	SNX9	SNX9	SNX9	SNX9	snx9a,snx9b	snx9b	LOC139306626,snx9b	SNX9	SNX9	ENSOSUG00000014409	SNX9	SNX9	SNX9	SNX9	SNX9	snx9b	SNX9	SNX9	SNX9	Snx9	ENSANIG00000010592	snx9a	SNX9	SNX9	LOC122976080,snx9b	SNX9	snx9	SNX9	snx9b	LOC125454706	SNX9	snx9a,snx9b
UBAP1L	ubap1l.L	UBAP1L	LOC135241586,ubap1lb	UBAP1L	ubap1lb	UBAP1L	UBAP1L	Ubap1l	Ubap1l	UBAP1L	UBAP1L	UBAP1L	LOC140387318	UBAP1L	LOC115551129,ubap1lb	UBAP1L	ENSFTIG00000000661	UBAP1L	UBAP1L	UBAP1L	UBAP1L	ENSBOBG00000004684	UBAP1L		LOC115781492,ubap1lb	UBAP1L	LOC115580269,LOC115586462	UBAP1L	LOC126043850	ubap1l	UBAP1L	Ubap1l	UBAP1L	UBAP1L	UBAP1L	UBAP1L	UBAP1L	UBAP1L	UBAP1L	Ubap1l	UBAP1L	UBAP1L	UBAP1L	UBAP1L	UBAP1L	UBAP1L	LOC105018181,ubap1lb	LOC142888848,ubap1lb	LOC139287127,ubap1lb	UBAP1L	UBAP1L	ENSOSUG00000012025	UBAP1L	UBAP1L	UBAP1L	UBAP1L	UBAP1L	ubap1lb	UBAP1L	UBAP1L	UBAP1L	Ubap1l	ENSANIG00000007147	ubap1lb	UBAP1L	UBAP1L	LOC122985916,ubap1lb	UBAP1L	ubap1l	UBAP1L	ubap1la,ubap1lb	ubap1lb	UBAP1L	ubap1la,ubap1lb
ZDHHC23	zdhhc23.L	ZDHHC23	zdhhc23b	ZDHHC23	zdhhc23b	ZDHHC23	ZDHHC23	Zdhhc23	Zdhhc23	ZDHHC23	ZDHHC23	ZDHHC23	zdhhc23b	ZDHHC23	zdhhc23b	ZDHHC23	ENSFTIG00000002152	ZDHHC23	ZDHHC23	ZDHHC23	ZDHHC23	ENSBOBG00000006277	ZDHHC23		LOC115792375,zdhhc23b	ZDHHC23	LOC115593455,zdhhc23b	ZDHHC23	ZDHHC23	zdhhc23	ZDHHC23	Zdhhc23	ZDHHC23	ZDHHC23	ZDHHC23	ZDHHC23	ZDHHC23	ZDHHC23	ZDHHC23	Zdhhc23	ZDHHC23	ZDHHC23	ZDHHC23	ZDHHC23	ZDHHC23	ZDHHC23	LOC105027671,zdhhc23b	LOC142884692,zdhhc23b	LOC139295742,zdhhc23b	ZDHHC23	ZDHHC23	ENSOSUG00000003674	ZDHHC23	ZDHHC23	ZDHHC23	ZDHHC23	ZDHHC23	zdhhc23b	ZDHHC23	ZDHHC23	ZDHHC23	Zdhhc23	ENSANIG00000001631	zdhhc23b	ZDHHC23	ZDHHC23	zdhhc23a,zdhhc23b	ZDHHC23	zdhhc23	ZDHHC23	LOC124378980,zdhhc23b	zdhhc23b	ZDHHC23	zdhhc23a,zdhhc23b
EPHB1	LOC108717147,LOC108718198	EPHB1	LOC135253442,LOC135256484	EPHB1	ephb1	EPHB1	EPHB1	Ephb1	Ephb1	EPHB1	EPHB1	EPHB1	LOC140390075	EPHB1	LOC115555802	EPHB1	ENSFTIG00000007338	EPHB1	EPHB1	EPHB1	EPHB1	ENSBOBG00000009994	EPHB1	EPHB1	LOC115778485,LOC115795397	LOC106542790	LOC115591048,ephb1	EPHB1	EPHB1	ephb1	EPHB1	Ephb1	EPHB1	EPHB1	EPHB1	EPHB1	EPHB1	EPHB1	EPHB1	Ephb1	EPHB1	EPHB1	EPHB1	EPHB1	EPHB1	EPHB1	LOC105011698,LOC105018039	LOC142885137,LOC142900666	LOC139287335,LOC139296477	EPHB1	EPHB1	ENSOSUG00000013539	EPHB1	EPHB1	EPHB1	EPHB1	EPHB1	ephb1	EPHB1	EPHB1	EPHB1	Ephb1	ENSANIG00000015514	LOC102684556	EPHB1	EPHB1	LOC122989122,LOC122993537	EPHB1	ephb1	EPHB1	LOC124402813	LOC125457628	EPHB1	ephb1
EPHB2	LOC108705066,ephb2.S	EPHB2	LOC135233958,LOC135237385	EPHB2	LOC140487179	EPHB2	EPHB2	Ephb2	Ephb2	EPHB2	EPHB2	EPHB2	LOC140392858	EPHB2	ephb2a	EPHB2	ENSFTIG00000010903	EPHB2	EPHB2	EPHB2	EPHB2	ENSBOBG00000014223	EPHB2	EPHB2	ephb2a,ephb2b	LOC106543351	ephb2a,ephb2b	EPHB2	EPHB2	ephb2	EPHB2	Ephb2	EPHB2	EPHB2	EPHB2	EPHB2	EPHB2	EPHB2	EPHB2	Ephb2	EPHB2	EPHB2	EPHB2	EPHB2	EPHB2	EPHB2	ephb2a,ephb2b	ephb2b	ephb2a,ephb2b	EPHB2	EPHB2	ENSOSUG00000015616	EPHB2	EPHB2	EPHB2	EPHB2	EPHB2	LOC140718199	EPHB2	EPHB2	EPHB2	Ephb2		ephb2b	EPHB2	EPHB2	ephb2a,ephb2b	EPHB2	LOC116410852	EPHB2	ephb2b	LOC125466639	EPHB2	ephb2a,ephb2b
HS3ST6	LOC108703226,hs3st6.L	HS3ST6	si_dkey-121b10.7	HS3ST6	LOC140464388	HS3ST6	HS3ST6	Hs3st6	Hs3st6	HS3ST6	HS3ST6	HS3ST6	LOC140394064	HS3ST6	LOC115530799,LOC115539371	HS3ST6	ENSFTIG00000010192	HS3ST6	HS3ST6	HS3ST6	HS3ST6	ENSBOBG00000014368	HS3ST6	HS3ST6	LOC115784610,LOC115798200	LOC106551733	LOC115570664,LOC115575367	HS3ST6	HS3ST6	hs3st6		Hs3st6	HS3ST6	HS3ST6	HS3ST6	HS3ST6	HS3ST6	HS3ST6	HS3ST6	Hs3st6	HS3ST6	HS3ST6	HS3ST6	HS3ST6	HS3ST6	HS3ST6	si_dkey-121b10.7	LOC142886917,LOC142893790	LOC139299811,LOC139303118	HS3ST6	HS3ST6	ENSOSUG00000013415	HS3ST6	HS3ST6	HS3ST6	HS3ST6	HS3ST6	LOC140735536	HS3ST6	HS3ST6	HS3ST6	Hs3st6	ENSANIG00000009124	LOC102698099	HS3ST6	HS3ST6	LOC122966574,si_dkey-121b10.7	HS3ST6	hs3st6	HS3ST6	LOC124377799,LOC124396916	LOC125462604	HS3ST6	si_dkey-121b10.7
DUSP29	dusp29.S	LOC102558324	LOC135245217,dusp29	DUSP29	LOC140484671	DUSP29	LOC110080329	Dupd1	Dusp29	DUSP29	DUSP29	DUSP29	LOC140403582	DUSP29	LOC115560327,dusp29	DUSP29	ENSFTIG00000010329	DUSP29	DUSP29	DUSP29	DUSP29	ENSBOBG00000009220	DUSP29		LOC115797768	DUPD1	LOC115596414,dusp29	DUSP29	DUSP29	dusp29	LOC134499529	Dusp29	LOC128146830	DUSP29	DUSP29	DUSP29	DUSP29	DUSP29	LOC107113230	Dusp29	DUSP29	DUSP29	DUSP29	DUSP29	DUSP29	DUSP29	LOC105010676,LOC105029556	LOC142881844,LOC142883645	LOC139294597,LOC139302973	DUPD1	DUSP29	ENSOSUG00000003864	DUSP29	DUSP29	DUPD1	DUSP29	LOC107315891	LOC140714429	DUPD1	DUPD1	DUSP29	Dusp29	ENSANIG00000000371	dusp29	DUSP29	DUSP29	LOC122971103,LOC122996837	DUSP29	dupd1	DUSP29	dusp13a,dusp29	LOC125467465	DUSP29	dusp29
PTPRU	LOC108708221,LOC108709564	PTPRU	LOC135257268,LOC135262043	PTPRU	LOC140453410	PTPRU	PTPRU	Ptpru	Ptpru	PTPRU	PTPRU	PTPRU	LOC140417302	PTPRU	ptprub	PTPRU	ENSFTIG00000013451	PTPRU	PTPRU	PTPRU	PTPRU	ENSBOBG00000005336	PTPRU	PTPRU	ptprua,ptprub	LOC106538965	ptprua,ptprub	PTPRU	PTPRU	ptpru	PTPRU	Ptpru	PTPRU	PTPRU	PTPRU	PTPRU	PTPRU	PTPRU	PTPRU	Ptpru	PTPRU	PTPRU	PTPRU	PTPRU	PTPRU	PTPRU	ptprua	ptprua,ptprub	ptprua,ptprub	PTPRU	PTPRU	ENSOSUG00000008122	PTPRU	PTPRU	PTPRU	PTPRU	PTPRU		PTPRU	PTPRU	PTPRU	Ptpru	ENSANIG00000016665	ptprub	PTPRU	PTPRU	ptprua,ptprub	PTPRU	ptpru	PTPRU	ptprua,ptprub	LOC125464900	PTPRU	ptprua,ptprub
ATP13A3	atp13a3.L	ATP13A3	LOC135256517,atp13a3	ATP13A3	atp13a3	ATP13A3	ATP13A3	Atp13a3	Atp13a3	ATP13A3	ATP13A3	ATP13A3	atp13a3	ATP13A3	LOC115549611,atp13a3	ATP13A3	ENSFTIG00000011548	ATP13A3	ATP13A3	ATP13A3	ATP13A3	ENSBOBG00000005484	ATP13A3	ATP13A3	LOC115796175,atp13a3	ATP13A3	LOC115573131,atp13a3	ATP13A3	ATP13A3	atp13a3	ATP13A3	Atp13a3	ATP13A3	ATP13A3	ATP13A3	ATP13A3	ATP13A3	ATP13A3	ATP13A3	Atp13a3	ATP13A3	ATP13A3	ATP13A3	ATP13A3	ATP13A3	ATP13A3	LOC105030364,atp13a3	LOC142884857,atp13a3	LOC139296630,atp13a3	ATP13A3	ATP13A3	ENSOSUG00000005562	ATP13A3	ATP13A3	ATP13A3	ATP13A3	ATP13A3		ATP13A3	ATP13A3	ATP13A3	Atp13a3	ENSANIG00000009646	atp13a3	ATP13A3	ATP13A3	LOC122994257,atp13a3	ATP13A3	atp13a3	ATP13A3	atp13a3	LOC125458025	ATP13A3	LOC100334666,LOC101885086
GABRB2	LOC108710851,LOC121402115	GABRB2	LOC135262708	GABRB2	gabrb2a	GABRB2	GABRB2	Gabrb2	Gabrb2	GABRB2	GABRB2	GABRB2	gabrb2a	GABRB2	gabrb2b	GABRB2	ENSFTIG00000002663	GABRB2	GABRB2	GABRB2	GABRB2	ENSBOBG00000012288	GABRB2	GABRB2	gabrb2a,gabrb2b	GABRB2	gabrb2a,gabrb2b	GABRB2	GABRB2	gabrb2	GABRB2	Gabrb2	GABRB2	GABRB2	GABRB2	GABRB2	GABRB2	GABRB2	GABRB2	Gabrb2	GABRB2	GABRB2	GABRB2	GABRB2	GABRB2	GABRB2	LOC105011225,gabrb2a	gabrb2a	LOC139294802,gabrb2a	GABRB2	GABRB2	ENSOSUG00000012487	GABRB2	GABRB2	GABRB2	GABRB2	GABRB2	LOC140739195	GABRB2	GABRB2	GABRB2	Gabrb2	ENSANIG00000004548	LOC102694607	GABRB2	GABRB2	LOC122996158,gabrb2a	GABRB2	gabrb2	GABRB2	LOC124398348,gabrb2a	gabrb2a	GABRB2	LOC101883326,gabrb2a
GABRB3	LOC108708432,gabrb3.S	GABRB3	gabrb3	GABRB3	gabrb3	GABRB3	GABRB3	Gabrb3	Gabrb3	GABRB3	GABRB3	GABRB3	gabrb3	GABRB3	gabrb3	GABRB3	ENSFTIG00000013370	GABRB3	GABRB3	GABRB3	GABRB3	ENSBOBG00000005469	GABRB3	GABRB3	LOC115790667,gabrb3	LOC106537517	LOC115577281,gabrb3	GABRB3	GABRB3	gabrb3	GABRB3	Gabrb3	GABRB3	GABRB3	GABRB3	GABRB3	GABRB3	GABRB3	LOC107114765	Gabrb3	GABRB3	GABRB3	GABRB3	GABRB3	GABRB3	GABRB3	LOC105022072,gabrb3	LOC142881842,gabrb3	LOC139306631,gabrb3	GABRB3	GABRB3	ENSOSUG00000012895	GABRB3	GABRB3	GABRB3	GABRB3	GABRB3	gabrb3	GABRB3	GABRB3	GABRB3	Gabrb3	ENSANIG00000014284	gabrb3	GABRB3	GABRB3	LOC122976597,gabrb3	GABRB3	gabrb3	GABRB3	gabrb3	gabrb3	GABRB3	gabrb3
PFKFB2		PFKFB2	LOC135234337	PFKFB2	LOC140467340	PFKFB2	PFKFB2	Pfkfb2	Pfkfb2	PFKFB2	PFKFB2	PFKFB2	LOC140393802	PFKFB2	LOC115546172,pfkfb2b	PFKFB2	ENSFTIG00000002098	PFKFB2	PFKFB2	PFKFB2	PFKFB2	ENSBOBG00000004837	PFKFB2	PFKFB2	LOC115783066,pfkfb2b	PFKFB2	LOC115585480,pfkfb2b	PFKFB2	PFKFB2	pfkfb2	PFKFB2	Pfkfb2	PFKFB2	PFKFB2	PFKFB2	PFKFB2	PFKFB2	PFKFB2	PFKFB2	Pfkfb2	PFKFB2	PFKFB2	PFKFB2	PFKFB2	PFKFB2	PFKFB2	pfkfb2a,pfkfb2b	LOC142898696,pfkfb2b	pfkfb2a,pfkfb2b	PFKFB2	PFKFB2	ENSOSUG00000012826	PFKFB2	PFKFB2	PFKFB2	PFKFB2	PFKFB2	LOC140717382	PFKFB2	PFKFB2	PFKFB2	Pfkfb2	ENSANIG00000011128	pfkfb2b	PFKFB2	PFKFB2	LOC122981897,pfkfb2b	PFKFB2	pfkfb2	PFKFB2	pfkfb2a,pfkfb2b	LOC125462674	PFKFB2	pfkfb2a,pfkfb2b
NDRG1	ndrg1.L,ndrg1.S	NDRG1	LOC135260749,ndrg1a	NDRG1	LOC140476961	NDRG1	NDRG1	Ndrg1	Ndrg1	NDRG1	NDRG1	NDRG1	LOC140385759	NDRG1	LOC115545333,ndrg1a	NDRG1	ENSFTIG00000001984	NDRG1	NDRG1	NDRG1	NDRG1	ENSBOBG00000005078	NDRG1	NDRG1	LOC115794792,ndrg1a		LOC115566701,LOC115575366	NDRG1	NDRG1	ndrg1	NDRG1	Ndrg1	NDRG1	NDRG1	NDRG1	NDRG1	NDRG1	NDRG1	NDRG1	Ndrg1	NDRG1	NDRG1	NDRG1	NDRG1	NDRG1	NDRG1	ndrg1a	LOC142898331,ndrg1a	LOC139289639,ndrg1a	NDRG1	NDRG1	ENSOSUG00000006039	NDRG1	NDRG1	NDRG1	NDRG1	NDRG1	LOC140729104	NDRG1		NDRG1	Ndrg1	ENSANIG00000000738	LOC102683397	NDRG1	NDRG1	LOC122988204,ndrg1a	NDRG1	ndrg1	NDRG1	ndrg1a,ndrg1b	LOC125451544	NDRG1	ndrg1a,ndrg1b
AGO3	LOC108708211,LOC108709549	LOC102577396	ago3a	LOC138503100	LOC140453591	LOC104355948	LOC110087295	Ago3	Ago3	AGO3	AGO3	AGO3	LOC140416871	AGO3	ago3a,ago3b	AGO3	EIF2C3	AGO3	AGO3	AGO3	AGO3		AGO3	AGO3	ago3a,ago3b	LOC106555754	ago3a,ago3b	AGO3	AGO3	LOC100556608	LOC134503351	LOC101975928	AGO3	LOC125337323	LOC128977771		AGO3	AGO3	LOC107126114	Ago3	AGO3	AGO3	AGO3	AGO3	AGO3	AGO3	LOC105028370,ago3b	ago3a,ago3b	ago3a,ago3b	LOC101005189	LOC100031405	EIF2C3	AGO3	AGO3	AGO3	AGO3	AGO3	LOC140719806	LOC712543	AGO3	AGO3	Ago3	ENSANIG00000002514	LOC102696380	AGO3	LOC141915641	LOC122987511,ago3b	LOC141954549	ago3	AGO3	LOC124403692,ago3b	LOC125464958	AGO3	ago3a,ago3b
FMOD	fmod.S	FMOD	LOC135233972,fmoda	FMOD	LOC140467386	FMOD	FMOD	Fmod	Fmod	FMOD	FMOD	FMOD	fmoda	FMOD	LOC115553512,fmoda	FMOD	ENSFTIG00000007931	FMOD	FMOD	FMOD	FMOD	ENSBOBG00000007725	FMOD	FMOD	fmoda,fmodb	FMOD	LOC115585147,fmoda	FMOD	FMOD	fmod	FMOD	Fmod	FMOD	FMOD		FMOD	FMOD	FMOD	FMOD	Fmod	FMOD	FMOD	FMOD	FMOD	FMOD	FMOD	LOC105007025,fmoda	LOC142888598,fmoda	fmoda,fmodb	FMOD	FMOD	ENSOSUG00000004853	FMOD	FMOD	FMOD	FMOD	FMOD	fmoda	FMOD	FMOD	FMOD	Fmod	ENSANIG00000012100	fmoda	FMOD	FMOD	fmoda,fmodb	FMOD	fmod		fmoda,fmodb	LOC125462876	FMOD	fmoda,fmodb
PDLIM3	pdlim3.L,pdlim3.S	PDLIM3	pdlim3a,pdlim3b	PDLIM3	pdlim3b	PDLIM3	PDLIM3	Pdlim3	Pdlim3	PDLIM3	PDLIM3	PDLIM3	pdlim3b	PDLIM3	LOC115540147,LOC115552401	PDLIM3	ENSFTIG00000014574	PDLIM3	PDLIM3	PDLIM3	PDLIM3	ENSBOBG00000005887	PDLIM3	PDLIM3	LOC115782386	PDLIM3	LOC115579936	PDLIM3	PDLIM3	pdlim3	PDLIM3	Pdlim3	PDLIM3	PDLIM3	PDLIM3	PDLIM3	PDLIM3	PDLIM3	PDLIM3	Pdlim3	PDLIM3	PDLIM3	PDLIM3	PDLIM3	PDLIM3	PDLIM3	pdlim3a,pdlim3b	LOC142893444	LOC139294099	PDLIM3	PDLIM3	ENSOSUG00000013144	PDLIM3	PDLIM3	PDLIM3	PDLIM3	PDLIM3	pdlim3b	PDLIM3	PDLIM3	PDLIM3	Pdlim3	ENSANIG00000000731	LOC102683036	PDLIM3	PDLIM3	pdlim3b	PDLIM3	pdlim3	PDLIM3	pdlim3a,pdlim3b	LOC125451331	PDLIM3	pdlim3a,pdlim3b
ZNF385D	znf385d.L,znf385d.S	ZNF385D	LOC135262132,znf385d	ZNF385D	LOC140480421	ZNF385D	ZNF385D	Znf385d	Zfp385d	ZNF385D	ZNF385D	ZNF385D	LOC140425229	ZNF385D	LOC115536270,znf385d	ZNF385D	ENSFTIG00000012655	ZNF385D	ZNF385D	ZNF385D	ZNF385D	ENSBOBG00000004237	ZNF385D	ZNF385D	LOC115788468,znf385d	LOC106537719	LOC115579452,znf385d	ZNF385D	ZNF385D	znf385d	ZNF385D	Znf385d	ZNF385D	ZNF385D	ZNF385D	ZNF385D	ZNF385D	ZNF385D	ZNF385D		ZNF385D	ZNF385D	ZNF385D	ZNF385D	ZNF385D	ZNF385D	LOC105012606,znf385d	LOC142881835,znf385d	LOC139298911,znf385d	ZNF385D	ZNF385D	ENSOSUG00000013199	ZNF385D	ZNF385D	ZNF385D	ZNF385D	ZNF385D	LOC140713905	ZNF385D	ZNF385D	ZNF385D	Znf385d	ENSANIG00000015868	znf385d	ZNF385D	ZNF385D	LOC122969583,znf385d	ZNF385D	znf385d	ZNF385D	znf385d	LOC125463177	ZNF385D	znf385d
GNB3	gnb3.L,gnb3.S	GNB3	LOC135261539,gnb3a	GNB3		GNB3	GNB3	Gnb3	Gnb3	GNB3	GNB3	GNB3	LOC140392946	GNB3	gnb3a	GNB3	ENSFTIG00000004625	GNB3	GNB3	GNB3	GNB3	ENSBOBG00000002958	GNB3	GNB3	gnb3a,gnb3b		gnb3a,gnb3b	GNB3	GNB3	gnb3	GNB3	Gnb3	GNB3	GNB3	GNB3	GNB3	GNB3	GNB3	GNB3	Gnb3	GNB3	GNB3	GNB3	GNB3	GNB3	GNB3	gnb3a,gnb3b	gnb3a,gnb3b	gnb3a,gnb3b	GNB3	GNB3	ENSOSUG00000014659	GNB3	GNB3	GNB3	GNB3	GNB3		GNB3	GNB3	GNB3	Gnb3	ENSANIG00000004532	gnb3a	GNB3	GNB3	gnb3a,gnb3b	GNB3	gnb3	GNB3	gnb3a,gnb3b		GNB3	gnb3a,gnb3b
MAP4K3	LOC108717401,map4k3.L	MAP4K3	LOC135244436,LOC135245030	MAP4K3	LOC140483193	MAP4K3	MAP4K3	Map4k3	Map4k3	MAP4K3	MAP4K3	MAP4K3	LOC140420140	MAP4K3	LOC115559654	MAP4K3	ENSFTIG00000011358	MAP4K3	MAP4K3	MAP4K3	MAP4K3	ENSBOBG00000010973	MAP4K3	MAP4K3	LOC115792868	MAP4K3	LOC115581961,LOC115596453	MAP4K3	MAP4K3	map4k3	MAP4K3	Map4k3	MAP4K3	MAP4K3	MAP4K3	MAP4K3	MAP4K3	MAP4K3	MAP4K3	Map4k3	MAP4K3	MAP4K3	MAP4K3	MAP4K3	MAP4K3	MAP4K3	LOC105006890,LOC105026822	LOC142901465	LOC139294647,LOC139300885	MAP4K3	MAP4K3	ENSOSUG00000014738	MAP4K3	MAP4K3	MAP4K3	MAP4K3	MAP4K3	map4k3a	MAP4K3	MAP4K3	MAP4K3	Map4k3	ENSANIG00000011325	map4k3a	MAP4K3	MAP4K3	LOC122976120,LOC122996583	MAP4K3	map4k3	MAP4K3	map4k3b	map4k3a	MAP4K3	map4k3a,map4k3b
ONECUT3	LOC108704663,onecut3.L	ONECUT3	onecut3a,onecut3b	LOC138575453	LOC140494656	ONECUT3	ONECUT3	Onecut3	Onecut3	ONECUT3	ONECUT3	ONECUT3	LOC140395091	ONECUT3	LOC115549469,onecut3a	ONECUT3	ENSFTIG00000008874	ONECUT3	ONECUT3	ONECUT3	ONECUT3		ONECUT3	ONECUT3	LOC115796224,onecut3a	LOC106554934	onecut3a,onecut3b	ONECUT3	ONECUT3	LOC134295244	ONECUT3	Onecut3	ONECUT3	ONECUT3	LOC128978359	ONECUT3	ONECUT3	ONECUT3	LOC107116928	Onecut3	ONECUT3	ONECUT3	ONECUT3	ONECUT3		ONECUT3	onecut3a,onecut3b	onecut3a,onecut3b	onecut3a,onecut3b	ONECUT3	ONECUT3	ENSOSUG00000003785	ONECUT3	ONECUT3	ONECUT3	ONECUT3	ONECUT3	LOC140739725	ONECUT3	ONECUT3	ONECUT3		ENSANIG00000006143	onecut3a	ONECUT3	ONECUT3	onecut3a,onecut3b	ONECUT3	onecut3	ONECUT3	onecut3a,onecut3b	onecut3b	ONECUT3	onecut3a,onecut3b
RAB39B	rab39b.L,rab39b.S	RAB39B	LOC135262968,rab39bb	RAB39B	LOC140495927	RAB39B	RAB39B	Rab39b		LOC101870099	RAB39B	RAB39B	LOC140421128	RAB39B	LOC115547929,rab39bb	RAB39B	ENSFTIG00000002732	RAB39B	RAB39B	RAB39B	RAB39B	ENSBOBG00000012426	RAB39B	RAB39B	LOC115791649,rab39bb	RAB39B	LOC115594154,rab39bb	RAB39B	RAB39B		RAB39B	Rab39b	RAB39B	RAB39B	RAB39B	RAB39B	RAB39B	RAB39B	RAB39B	Rab39b	RAB39B	RAB39B	RAB39B	RAB39B	RAB39B	RAB39B	LOC105024664,rab39bb	rab39bb	LOC139294855,rab39bb	RAB39B	RAB39B	ENSOSUG00000002844	RAB39B	RAB39B	RAB39B	RAB39B	RAB39B	LOC140734306	RAB39B	RAB39B	RAB39B	Rab39b	ENSANIG00000017186	rab39bb	RAB39B	RAB39B	LOC122973497,LOC122996219	RAB39B	rab39b	RAB39B	rab39ba,rab39bb	LOC125458950	RAB39B	rab39ba,rab39bb
MEF2A	mef2a.L,mef2a.S	MEF2A	LOC135254966,mef2aa	MEF2A	mef2aa	MEF2A	MEF2A	Mef2a	Mef2a	MEF2A	MEF2A	MEF2A	LOC140387547	MEF2A	mef2aa	MEF2A	ENSFTIG00000001244	MEF2A	MEF2A	MEF2A	MEF2A	ENSBOBG00000005205	MEF2A	MEF2A	LOC115778097,mef2aa	MEF2A	LOC115580894,mef2aa	MEF2A	MEF2A	mef2a	MEF2A	Mef2a	MEF2A	MEF2A	MEF2A	MEF2A	MEF2A	MEF2A	MEF2A	Mef2a	MEF2A	MEF2A	MEF2A	MEF2A	MEF2A	MEF2A	mef2aa	LOC142903519,mef2aa	LOC139296200,mef2aa	MEF2A	MEF2A	ENSOSUG00000013362	MEF2A	MEF2A	MEF2A	MEF2A	MEF2A	mef2aa	MEF2A	MEF2A	MEF2A	Mef2a	ENSANIG00000014306	mef2aa	MEF2A	MEF2A	LOC122993419,mef2aa	MEF2A		MEF2A	LOC124391517,mef2aa	mef2aa	MEF2A	mef2aa,mef2ab
SYNGR2	LOC108701016,syngr2.S	SYNGR2	syngr2a,syngr2b	SYNGR2	syngr2b	SYNGR2	SYNGR2	Syngr2	Syngr2	SYNGR2	SYNGR2	SYNGR2	LOC140395616	SYNGR2	LOC115531801	SYNGR2	ENSFTIG00000000385	SYNGR2	SYNGR2	SYNGR2	SYNGR2		SYNGR2	SYNGR2	syngr2a,syngr2b	SYNGR2	syngr2a,syngr2b	SYNGR2	SYNGR2	syngr2	SYNGR2	Syngr2	SYNGR2	SYNGR2	SYNGR2	SYNGR2	SYNGR2	SYNGR2	SYNGR2	Syngr2	SYNGR2	SYNGR2	SYNGR2	SYNGR2	SYNGR2	SYNGR2	syngr2a,syngr2b	syngr2a,syngr2b	syngr2a,syngr2b	SYNGR2	SYNGR2	ENSOSUG00000008345	SYNGR2	SYNGR2	SYNGR2	SYNGR2	SYNGR2	syngr2b	SYNGR2	SYNGR2	SYNGR2	Syngr2	ENSANIG00000010584	syngr2a	SYNGR2	SYNGR2	syngr2a,syngr2b	SYNGR2	syngr2	SYNGR2	syngr2b	syngr2b	SYNGR2	syngr2a,syngr2b
GDPD5	gdpd5.L,gdpd5.S	GDPD5	LOC135262769,gdpd5b	GDPD5	LOC140481117	GDPD5	GDPD5	Gdpd5	Gdpd5	GDPD5	GDPD5	GDPD5	gdpd5b	GDPD5	gdpd5b	GDPD5	ENSFTIG00000003311	GDPD5	GDPD5	GDPD5	GDPD5	ENSBOBG00000010037	GDPD5	GDPD5	gdpd5a,gdpd5b		gdpd5a,gdpd5b	GDPD5	GDPD5	gdpd5	GDPD5	Gdpd5	GDPD5	GDPD5	GDPD5	GDPD5	GDPD5	GDPD5	GDPD5	Gdpd5	GDPD5	GDPD5	GDPD5	GDPD5		GDPD5	gdpd5a,gdpd5b	gdpd5a,gdpd5b	gdpd5a,gdpd5b	GDPD5	GDPD5	ENSOSUG00000001300	GDPD5	LOC101922861	GDPD5	GDPD5	LOC107308597	LOC140727066	GDPD5	GDPD5	GDPD5	Gdpd5	ENSANIG00000007403	gdpd5b	GDPD5	GDPD5	gdpd5a,gdpd5b	GDPD5	gdpd5	GDPD5	gdpd5a,gdpd5b	gdpd5b	GDPD5	gdpd5a,gdpd5b
