OrthoSymbol	atlanticHagfish	fareasternBrookLamprey	seaLamprey
OG0005130	EIF5	EIF5	EIF5
OG0005131	EIF5A	EIF5A	EIF5A
OG0005132	EIPR1	EIPR1	EIPR1
OG0005133	ELAC2	ELAC2	ELAC2
OG0005134	ELOA	ELOA	ELOA
OG0005135	ELOB	ELOB	ELOB
OG0005136	ELOC	ELOC	ELOC
OG0005137	ELOF1	ELOF1	ELOF1
OG0005138	ELOVL4	ELOVL4	LOC116955634
OG0005139	ELOVL6	LOC133350583	LOC116940299
OG0005140	ELP1	ELP1	ELP1
OG0005141	ELP2	ELP2	ELP2
OG0005142	ELP3	ELP3	ELP3
OG0005143	ELP4	ELP4	ELP4
OG0005144	ELP5	ELP5	ELP5
OG0005145	ELP6	ELP6	ELP6
OG0005146	EMC10	EMC10	EMC10
OG0005147	EMC2	EMC2	EMC2
OG0005148	EMC3	EMC3	EMC3
OG0005149	EMC8	LOC133340281	LOC116945743
OG0005151	EMSY	EMSY	EMSY
OG0005152	EMX2	LOC133343410	LOC103091691
OG0005153	ENDOU	ENDOU	ENDOU
OG0005154	ENKUR	ENKUR	ENKUR
OG0005155	ENO4	ENO4	ENO4
OG0005156	ENTPD4	ENTPD4	ENTPD4
OG0005157	ENY2	ENY2	ENY2
OG0005158	EOGT	EOGT	EOGT
OG0005159	EOMES	LOC133356834	LOC116943951
OG0005160	EPG5	EPG5	EPG5
OG0005161	EPHX1	EPHX1	EPHX1
OG0005162	EPN2	LOC133346661	EPN2
OG0005163	EPPK1	LOC133353248	LOC116945259
OG0005164	EPRS1	EPRS1	EPRS1
OG0005165	ERBIN	LOC133351841	LOC116948891
OG0005166	ERCC2	ERCC2	ERCC2
OG0005167	ERCC3	ERCC3	ERCC3
OG0005168	ERCC4	ERCC4	ERCC4
OG0005169	ERCC5	LOC133357150	ERCC5
OG0005170	ERCC6	LOC133350527	ERCC6
OG0005171	ERCC8	ERCC8	ERCC8
OG0005172	ERGIC1	ERGIC1	ERGIC1
OG0005173	ERGIC2	LOC133350288	ERGIC2
OG0005174	ERH	ERH	ERH
OG0005175	ERLEC1	ERLEC1	ERLEC1
OG0005176	ERMARD	ERMARD	ERMARD
OG0005177	ESF1	ESF1	ESF1
OG0005178	ESM1	ESM1	ESM1
OG0005179	ESRP1	ESRP1	ESRP1
OG0005180	ETF1	ETF1	ETF1
OG0005181	ETFDH	ETFDH	ETFDH
OG0005182	ETHE1	ETHE1	ETHE1
OG0005183	EVL	LOC133352561	EVL
OG0005184	EXD2	EXD2	EXD2
OG0005185	EXD3	EXD3	EXD3
OG0005186	EXO1	EXO1	EXO1
OG0005187	EXOC4	EXOC4	EXOC4
OG0005188	EXOC5	EXOC5	EXOC5
OG0005189	EXOC8	EXOC8	EXOC8
OG0005190	EXOSC1	EXOSC1	EXOSC1
OG0005191	EXOSC2	EXOSC2	EXOSC2
OG0005192	EXOSC3	EXOSC3	EXOSC3
OG0005193	EXOSC4	EXOSC4	EXOSC4
OG0005194	EXOSC5	EXOSC5	EXOSC5
OG0005195	EXOSC6	EXOSC6	EXOSC6
OG0005196	EXT2	EXT2	EXT2
OG0005197	EXTL3	EXTL3	EXTL3
OG0005198	F2	F2	F2
OG0005199	FAAP100	FAAP100	FAAP100
OG0005200	FAF1	FAF1	FAF1
OG0005202	FAH	FAH	FAH
OG0005203	FAHD1	FAHD1	FAHD1
OG0005204	FAM107B	LOC133342567	LOC116949427
OG0005205	FAM120A	LOC133356797	LOC116952779
OG0005206	FAM120B	FAM120B	FAM120B
OG0005207	FAM133B	LOC133349856	FAM133B
OG0005208	FAM135A	FAM135A	LOC116942655
OG0005209	FAM163B	FAM163B	FAM163B
OG0005210	FAM169A	FAM169A	FAM169A
OG0005211	FAM177A1	LOC133341482	LOC116947690
OG0005212	FAM181A	FAM181A	FAM181A
OG0005213	FAM185A	FAM185A	FAM185A
OG0005214	FAM193A	FAM193A	FAM193A
OG0005215	FAM199X	FAM199X	FAM199X
OG0005216	FAM204A	FAM204A	FAM204A
OG0005217	FAM210A	FAM210A	FAM210A
OG0005218	FAM210B	FAM210B	FAM210B
OG0005219	FAM222A	LOC133348270	LOC116939240
OG0005220	FAM32A	FAM32A	FAM32A
OG0005221	FAM53A	FAM53A	FAM53A
OG0005222	FAM8A1	FAM8A1	FAM8A1
OG0005223	FAM91A1	FAM91A1	FAM91A1
OG0005224	FAM98A	LOC133347170	FAM98A
OG0005225	FAN1	FAN1	FAN1
OG0005226	FANCB	FANCB	FANCB
OG0005227	FANCC	FANCC	FANCC
OG0005228	FANCE	FANCE	FANCE
OG0005229	FANCM	FANCM	LOC116948372
OG0005230	FARSA	FARSA	FARSA
OG0005231	FASN	FASN	FASN
OG0005232	FAT4	LOC133342996	FAT4
OG0005233	FAXC	FAXC	FAXC
OG0005234	FBF1	FBF1	FBF1
OG0005235	FBL	FBL	FBL
OG0005236	FBXL15	FBXL15	FBXL15
OG0005237	FBXL16	FBXL16	FBXL16
OG0005238	FBXL6	FBXL6	FBXL6
OG0005240	FBXO3	FBXO3	FBXO3
OG0005241	FBXO31	FBXO31	LOC116945730
OG0005242	FBXO33	FBXO33	FBXO33
OG0005243	FBXO45	FBXO45	FBXO45
OG0005244	FBXO47	FBXO47	FBXO47
OG0005245	FBXO7	FBXO7	FBXO7
OG0005246	FBXW12	LOC133355544	FBXW12
OG0005247	FBXW2	FBXW2	FBXW2
OG0005248	FBXW4	FBXW4	FBXW4
OG0005249	FBXW7	FBXW7	FBXW7
OG0005250	FCF1	FCF1	FCF1
OG0005251	FCHO2	LOC133352031	FCHO2
OG0005252	FDX2	FDX2	LOC116938777
OG0005253	FDXR	FDXR	FDXR
OG0005254	FECH	FECH	FECH
OG0005255	FEN1	FEN1	FEN1
OG0005256	FERMT2	LOC133342400	FERMT2
OG0005257	FEZ2	LOC133360895	LOC116947329
OG0005258	FGB	FGB	FGB
OG0005259	FGD6	FGD6	FGD6
OG0005260	FGF8	LOC133345485	LOC116941408
OG0005261	FGFR1OP2	FGFR1OP2	FGFR1OP2
OG0005262	FGG	FGG	FGG
OG0005263	FGGY	FGGY	FGGY
OG0005264	FH	FH	FH
OG0005265	FHDC1	FHDC1	FHDC1
OG0005266	FHIP1B	LOC133357801	FHIP1B
OG0005267	FHIP2A	FHIP2A	FHIP2A
OG0005268	FHIT	FHIT	FHIT
OG0005269	FIBP	FIBP	FIBP
OG0005270	FILIP1	LOC133353599	LOC116952906
OG0005271	FIP1L1	FIP1L1	FIP1L1
OG0005272	FIRRM	FIRRM	FIRRM
OG0005273	FKBP15	FKBP15	FKBP15
OG0005274	FKBP2	FKBP2	FKBP2
OG0005275	FKBP3	FKBP3	FKBP3
OG0005276	FLCN	FLCN	FLCN
OG0005277	FLOT2	FLOT2	FLOT2
OG0005278	FLT1	FLT1	FLT1
OG0005279	FMNL2	LOC133345980	LOC116938663
OG0005280	FNBP4	FNBP4	FNBP4
OG0005281	FNDC3A	LOC133357258	FNDC3A
OG0005282	FNDC4	LOC133356985	LOC116955600
OG0005283	FNTA	LOC133345522	FNTA
OG0005284	FOXL2	LOC133351088	LOC116946948
OG0005285	FOXN3	FOXN3	FOXN3
OG0005286	FOXO3	LOC133356948	LOC116955534
OG0005287	FOXRED1	FOXRED1	FOXRED1
OG0005288	FOXRED2	FOXRED2	FOXRED2
OG0005289	FRAS1	LOC133350619	FRAS1
OG0005290	FREM1	LOC133352003	FREM1
OG0005291	FRG1	FRG1	FRG1
OG0005292	FRMD6	FRMD6	FRMD6
OG0005293	FRMD8	FRMD8	FRMD8
OG0005294	FRRS1L	FRRS1L	FRRS1L
OG0005295	FRZB	FRZB	FRZB
OG0005296	FSIP1	FSIP1	FSIP1
OG0005297	FST	FST	FST
OG0005298	FTCD	FTCD	FTCD
OG0005299	FTCDNL1	FTCDNL1	FTCDNL1
OG0005300	FXN	FXN	FXN
OG0005301	FZR1	FZR1	FZR1
OG0005302	G3BP2	LOC133350509	G3BP2
OG0005303	G6PC3	G6PC3	LOC116947076
OG0005304	G6PD	G6PD	G6PD
OG0005305	GABBR1	LOC133343849	LOC116954934
OG0005306	GABRA6	LOC133349880	LOC116943684
OG0005307	GAD1	GAD1	GAD1
OG0005308	GALC	GALC	GALC
OG0005309	GALE	LOC133352918	GALE
OG0005311	GALK2	GALK2	GALK2
OG0005312	GALM	GALM	GALM
OG0005313	GALNT11	GALNT11	GALNT11
OG0005314	GALNT16	LOC133352676	LOC116948466
OG0005315	GALNT4	GALNT4	GALNT4
OG0005316	GALR1	GALR1	GALR1
OG0005317	GAMT	LOC133355045	LOC116953525
OG0005318	GAN	GAN	GAN
OG0005319	GARS1	GARS1	GARS1
OG0005320	GART	GART	GART
OG0005321	GAS2	GAS2	GAS2
OG0005322	GAS6	GAS6	GAS6
OG0005323	GAS8	GAS8	DRC4
OG0005324	GATA4	LOC133349132	LOC116942517
OG0005325	GATB	GATB	GATB
OG0005326	GATD1	GATD1	GATD1
OG0005327	GATM	LOC133346736	GATM
OG0005328	GBA1	GBA1	GBA1
OG0005329	GBA2	GBA2	GBA2
OG0005330	GBE1	GBE1	GBE1
OG0005331	GCC1	GCC1	GCC1
OG0005332	GCDH	GCDH	GCDH
OG0005333	GCHFR	GCHFR	GCHFR
OG0005334	GCK	GCK	GCK
OG0005335	GCLC	GCLC	GCLC
OG0005336	GCLM	GCLM	GCLM
OG0005337	GCN1	GCN1	GCN1
OG0005338	GCNT2	GCNT2	GCNT2
OG0005339	GCSH	GCSH	GCSH
OG0005340	GDE1	GDE1	GDE1
OG0005341	GDF11	GDF11	GDF11
OG0005342	GEMIN4	GEMIN4	GEMIN4
OG0005343	GEMIN6	GEMIN6	GEMIN6
OG0005344	GEMIN8	GEMIN8	GEMIN8
OG0005345	GET1	GET1	GET1
OG0005347	GET4	GET4	GET4
OG0005348	GFI1B	LOC133360109	GFI1B
OG0005350	GFM2	GFM2	GFM2
OG0005351	GFUS	GFUS	GFUS
OG0005352	GGT1	LOC133348885	GGT1
OG0005353	GGT7	GGT7	GGT7
OG0005354	GHDC	GHDC	GHDC
OG0005355	GHITM	GHITM	GHITM
OG0005356	GID8	GID8	GID8
OG0005357	GIGYF2	LOC133351094	GIGYF2
OG0005358	GINM1	GINM1	GINM1
OG0005359	GINS1	GINS1	GINS1
OG0005360	GINS3	GINS3	GINS3
OG0005361	GINS4	GINS4	GINS4
OG0005362	GK5	GK5	GK5
OG0005363	GKAP1	GKAP1	GKAP1
OG0005364	GLCE	GLCE	GLCE
OG0005365	GLDC	GLDC	GLDC
OG0005366	GLG1	GLG1	GLG1
OG0005367	GLIS2	GLIS2	GLIS2
OG0005368	GLMN	GLMN	GLMN
OG0005369	GLO1	GLO1	GLO1
OG0005370	GLRB	GLRB	GLRB
OG0005371	GLYCTK	GLYCTK	GLYCTK
OG0005372	GM2A	GM2A	GM2A
OG0005373	GMDS	GMDS	GMDS
OG0005374	GMNN	LOC133352993	GMNN
OG0005375	GMPPB	GMPPB	GMPPB
OG0005376	GMPS	GMPS	GMPS
OG0005377	GNB5	GNB5	GNB5
OG0005379	GNL3	GNL3	LOC116952367
OG0005380	GNL3L	GNL3L	GNL3L
OG0005381	GNMT	GNMT	GNMT
OG0005382	GNPAT	GNPAT	GNPAT
OG0005383	GNPTG	GNPTG	GNPTG
OG0005384	GOLGA4	GOLGA4	GOLGA4
OG0005385	GOLGA5	GOLGA5	GOLGA5
OG0005386	GOLGA7	GOLGA7	GOLGA7
OG0005387	GOLM2	GOLM2	GOLM2
OG0005388	GOLT1B	GOLT1B	GOLT1B
OG0005389	GOPC	GOPC	GOPC
OG0005390	GORAB	GORAB	GORAB
OG0005391	GORASP2	LOC133345231	LOC116948965
OG0005392	GOT1	LOC133340548	GOT1
OG0005393	GOT2	GOT2	GOT2
OG0005394	GP9	LOC133342520	GP9
OG0005395	GPAA1	GPAA1	GPAA1
OG0005396	GPALPP1	GPALPP1	GPALPP1
OG0005397	GPAM	GPAM	GPAM
OG0005398	GPANK1	GPANK1	GPANK1
OG0005399	GPATCH3	GPATCH3	GPATCH3
OG0005400	GPCPD1	GPCPD1	GPCPD1
OG0005401	GPD2	GPD2	GPD2
OG0005402	GPHN	GPHN	GPHN
OG0005403	GPM6A	LOC133357770	LOC116955775
OG0005404	GPR139	LOC133340744	LOC116951349
OG0005405	GPR143	GPR143	GPR143
OG0005406	GPR149	GPR149	GPR149
OG0005407	GPR155	GPR155	GPR155
OG0005408	GPR176	GPR176	GPR176
OG0005409	GPR19	GPR19	GPR19
OG0005410	GPR61	LOC133349378	LOC116942461
OG0005411	GPR84	GPR84	GPR84
OG0005412	GPX4	GPX4	GPX4
OG0005413	GRAMD1B	LOC133342036	LOC116948121
OG0005414	GRIK5	LOC133342124	GRIK5
OG0005415	GRIPAP1	GRIPAP1	GRIPAP1
OG0005416	GRPEL1	LOC133343443	LOC116940602
OG0005417	GRTP1	LOC133360948	GRTP1
OG0005418	GRWD1	LOC133345917	GRWD1
OG0005419	GSR	GSR	GSR
OG0005420	GSTCD	GSTCD	GSTCD
OG0005421	GSTK1	GSTK1	GSTK1
OG0005422	GSTZ1	GSTZ1	GSTZ1
OG0005423	GTDC1	GTDC1	QTMAN
OG0005424	GTF2E1	GTF2E1	GTF2E1
OG0005425	GTF2E2	GTF2E2	GTF2E2
OG0005426	GTF2F1	GTF2F1	GTF2F1
OG0005427	GTF2H3	GTF2H3	GTF2H3
OG0005428	GTF3C2	GTF3C2	GTF3C2
OG0005429	GTF3C3	GTF3C3	GTF3C3
OG0005430	GTF3C4	GTF3C4	GTF3C4
OG0005431	GTF3C6	GTF3C6	GTF3C6
OG0005432	GTPBP1	GTPBP1	GTPBP1
OG0005433	GTPBP10	GTPBP10	GTPBP10
OG0005434	GTPBP2	GTPBP2	GTPBP2
OG0005435	GTPBP4	GTPBP4	GTPBP4
OG0005436	GTSE1	GTSE1	LOC116947584
OG0005437	GUCD1	GUCD1	GUCD1
OG0005438	GUCY1A2	LOC133350055	GUCY1A2
OG0005439	GUCY1B1	GUCY1B1	GUCY1B1
OG0005440	GUCY2F	LOC133353813	LOC116952496
OG0005441	GUF1	GUF1	GUF1
OG0005442	GUK1	GUK1	GUK1
OG0005443	GULP1	LOC133346115	LOC116938528
OG0005444	GUSB	GUSB	GUSB
OG0005445	H1-10	LOC133357985	H1-10
OG0005446	HACE1	HACE1	HACE1
OG0005447	HADH	HADH	HADH
OG0005448	HADHA	HADHA	HADHA
OG0005449	HADHB	HADHB	HADHB
OG0005450	HAGH	HAGH	HAGH
OG0005451	HASPIN	HASPIN	HASPIN
OG0005452	HAUS7	LOC133356542	LOC116951171
OG0005453	HAX1	HAX1	HAX1
OG0005454	HBP1	HBP1	HBP1
OG0005456	HCFC1	HCFC1	HCFC1
OG0005457	HDAC11	HDAC11	HDAC11
OG0005458	HDAC8	HDAC8	HDAC8
OG0005459	HDDC2	HDDC2	HDDC2
OG0005460	HDHD2	HDHD2	HDHD2
OG0005461	HDHD5	HDHD5	HDHD5
OG0005462	HDLBP	HDLBP	HDLBP
OG0005463	HDX	HDX	HDX
OG0005464	HEATR1	HEATR1	HEATR1
OG0005465	HEATR5B	LOC133352818	HEATR5B
OG0005466	HEATR6	HEATR6	HEATR6
OG0005467	HELLS	HELLS	HELLS
OG0005468	HELT	HELT	HELT
OG0005469	HEMK1	HEMK1	HEMK1
OG0005470	HERC1	LOC133346444	HERC1
OG0005471	HERC2	HERC2	HERC2
OG0005472	HERC4	HERC4	HERC4
OG0005473	HERPUD2	LOC133340497	LOC116945898
OG0005474	HES1	HES1	HES1
OG0005475	HEXD	HEXD	HEXD
OG0005476	HGH1	HGH1	HGH1
OG0005477	HID1	LOC133358663	HID1
OG0005478	HIKESHI	HIKESHI	HIKESHI
OG0005479	HINT1	HINT1	HINT1
OG0005480	HINT2	LOC133343794	LOC116941955
OG0005481	HINT3	HINT3	HINT3
OG0005482	HIP1R	LOC133348823	LOC116950063
OG0005483	HIRIP3	LOC133338978	HIRIP3
OG0005484	HLCS	HLCS	HLCS
OG0005485	HLX	HLX	HLX
OG0005486	HMBOX1	HMBOX1	HMBOX1
OG0005487	HMCES	HMCES	HMCES
OG0005488	HMCN1	LOC133341883	HMCN1
OG0005489	HMGCLL1	LOC133353208	LOC116945260
OG0005490	HMGCR	HMGCR	HMGCR
OG0005491	HMGXB3	HMGXB3	HMGXB3
OG0005492	HMGXB4	HMGXB4	HMGXB4
OG0005493	HNRNPUL1	HNRNPUL1	HNRNPUL1
OG0005494	HOGA1	HOGA1	HOGA1
OG0005495	HOXD10	LOC133344819	LOC116940926
OG0005496	HP1BP3	HP1BP3	HP1BP3
OG0005497	HPD	HPD	HPD
OG0005498	HPS1	HPS1	HPS1
OG0005499	HPS3	HPS3	HPS3
OG0005500	HPX	HPX	HPX
OG0005501	HS1BP3	HS1BP3	HS1BP3
OG0005502	HS2ST1	LOC133341849	HS2ST1
OG0005503	HSCB	HSCB	HSCB
OG0005504	HSD17B4	HSD17B4	HSD17B4
OG0005505	HSD3B7	HSD3B7	LOC116950217
OG0005506	HSDL2	HSDL2	HSDL2
OG0005507	HSP90B1	HSP90B1	HSP90B1
OG0005508	HSPA12B	LOC133343418	HSPA12B
OG0005509	HSPA14	HSPA14	HSPA14
OG0005510	HSPE1	HSPE1	HSPE1
OG0005511	HSPG2	HSPG2	HSPG2
OG0005512	HTATIP2	HTATIP2	HTATIP2
OG0005513	HTR4	HTR4	HTR4
OG0005514	HTR5A	LOC133344960	HTR5A
OG0005515	HTR7	HTR7	HTR7
OG0005516	HTT	HTT	HTT
OG0005517	HUS1	HUS1	HUS1
OG0005518	HUWE1	HUWE1	HUWE1
OG0005519	HVCN1	HVCN1	HVCN1
OG0005520	HYI	HYI	HYI
OG0005521	HYLS1	HYLS1	HYLS1
OG0005523	HYPK	HYPK	HYPK
OG0005524	IARS1	IARS1	IARS1
OG0005525	IARS2	IARS2	IARS2
OG0005526	IBA57	IBA57	IBA57
OG0005527	IBTK	LOC133339392	LOC142906975
OG0005528	ICMT	ICMT	ICMT
OG0005529	IDE	IDE	IDE
OG0005530	IDH1	IDH1	IDH1
OG0005531	IDH2	IDH2	IDH2
OG0005532	IDH3G	IDH3G	IDH3G
OG0005533	IDI1	IDI1	IDI1
OG0005534	IDUA	IDUA	IDUA
OG0005535	IER3IP1	IER3IP1	IER3IP1
OG0005536	IER5	LOC133360177	LOC116955379
OG0005537	IFI30	LOC133341891	LOC116945020
OG0005538	IFT122	LOC133355506	IFT122
OG0005539	IFT172	IFT172	IFT172
OG0005540	IFT20	IFT20	IFT20
OG0005541	IFT27	IFT27	IFT27
OG0005542	IFT43	IFT43	IFT43
OG0005543	IFT52	IFT52	IFT52
OG0005544	IFT74	IFT74	IFT74
OG0005545	IFT88	IFT88	IFT88
OG0005546	IGDCC3	IGDCC3	IGDCC3
OG0005547	IK	IK	IK
OG0005548	IKZF5	LOC133359545	IKZF5
OG0005549	IL17RD	IL17RD	IL17RD
OG0005551	ILKAP	ILKAP	ILKAP
OG0005552	ILVBL	ILVBL	HACL2
OG0005554	IMMP2L	IMMP2L	IMMP2L
OG0005555	IMMT	IMMT	IMMT
OG0005556	IMP3	IMP3	IMP3
OG0005557	IMP4	IMP4	IMP4
OG0005558	IMPA1	LOC133354827	LOC116952030
OG0005559	IMPACT	IMPACT	IMPACT
OG0005560	INF2	INF2	INF2
OG0005561	INO80	INO80	INO80
OG0005562	INO80C	INO80C	INO80C
OG0005563	INO80D	INO80D	INO80D
OG0005564	INPP5A	INPP5A	INPP5A
OG0005565	INPP5E	INPP5E	INPP5E
OG0005566	INPP5F	INPP5F	INPP5F
OG0005567	INPP5K	LOC133349084	LOC116957778
OG0005568	INS	LOC133347390	INS
OG0005569	INTS11	INTS11	INTS11
OG0005570	INTS12	INTS12	INTS12
OG0005571	INTS13	INTS13	INTS13
OG0005572	INTS15	INTS15	INTS15
OG0005573	INTS2	INTS2	INTS2
OG0005574	INTS3	INTS3	INTS3
OG0005575	INTS4	INTS4	INTS4
OG0005576	INTS5	INTS5	INTS5
OG0005577	INTS7	INTS7	INTS7
OG0005578	INTS8	INTS8	INTS8
OG0005579	INTS9	INTS9	INTS9
OG0005580	INTU	INTU	INTU
OG0005581	IPMK	IPMK	IPMK
OG0005582	IPO11	IPO11	IPO11
OG0005583	IPO13	IPO13	IPO13
OG0005584	IPO5	IPO5	IPO5
OG0005585	IPO9	IPO9	IPO9
OG0005586	IPP	IPP	IPP
OG0005587	IQCC	IQCC	LOC116945113
OG0005588	IRX6	LOC133354860	LOC116952053
OG0005589	ISCA2	ISCA2	ISCA2
OG0005590	ISM1	LOC133347153	LOC116939523
OG0005591	IST1	IST1	IST1
OG0005592	ISY1	LOC133356648	ISY1
OG0005593	ITFG1	ITFG1	ITFG1
OG0005594	ITFG2	ITFG2	ITFG2
OG0005595	ITGB4	ITGB4	ITGB4
OG0005596	ITPK1	ITPK1	LOC116939790
OG0005597	IVNS1ABP	IVNS1ABP	IVNS1ABP
OG0005598	JAK2	LOC133350099	LOC116951928
OG0005599	JMJD6	JMJD6	JMJD6
OG0005600	JOSD1	JOSD1	JOSD1
OG0005601	KANSL2	KANSL2	KANSL2
OG0005602	KANSL3	KANSL3	KANSL3
OG0005603	KARS1	KARS1	KARS1
OG0005604	KAT14	KAT14	KAT14
OG0005605	KAT2B	KAT2B	KAT2B
OG0005606	KAT5	KAT5	KAT5
OG0005607	KAT8	KAT8	LOC142923803
OG0005608	KATNAL2	KATNAL2	KATNAL2
OG0005609	KATNB1	KATNB1	KATNB1
OG0005610	KATNIP	LOC133353576	LOC116946134
OG0005611	KAZALD1	KAZALD1	KAZALD1
OG0005612	KBTBD12	KBTBD12	KBTBD12
OG0005613	KBTBD2	KBTBD2	KBTBD2
OG0005614	KBTBD8	KBTBD8	KBTBD8
OG0005615	KCMF1	KCMF1	KCMF1
OG0005616	KCNK1	LOC133347336	LOC116939679
OG0005617	KCNK13	LOC133342191	LOC116943209
OG0005618	KCNK18	LOC133345707	LOC116941286
OG0005619	KCNV2	LOC133350675	LOC116951939
OG0005620	KCTD18	KCTD18	KCTD18
OG0005621	KCTD6	LOC133349179	KCTD6
OG0005622	KCTD7	KCTD7	KCTD7
OG0005623	KCTD9	KCTD9	KCTD9
OG0005624	KDM1B	KDM1B	KDM1B
OG0005625	KDM4A	LOC133352068	LOC116948878
OG0005626	KDSR	KDSR	KDSR
OG0005627	KEAP1	LOC133346518	KEAP1
OG0005628	KGD4	KGD4	KGD4
OG0005629	KHDRBS2	KHDRBS2	LOC116946620
OG0005630	KHK	KHK	KHK
OG0005631	KIAA0232	KIAA0232	KIAA0232
OG0005632	KIAA0319L	LOC133353359	LOC116945159
OG0005633	KIAA0930	KIAA0930	KIAA0930
OG0005634	KICS2	KICS2	KICS2
OG0005635	KIDINS220	KIDINS220	KIDINS220
OG0005636	KIF11	KIF11	KIF11
OG0005637	KIF19	KIF19	KIF19
OG0005638	KIF21A	KIF21A	KIF21A
OG0005639	KIF23	KIF23	KIF23
OG0005640	KIF26B	LOC133341307	LOC116947861
OG0005641	KIF2A	LOC133352039	LOC116948837
OG0005642	KIF3A	KIF3A	KIF3A
OG0005643	KIFBP	KIFBP	KIFBP
OG0005644	KIN	KIN	KIN
OG0005645	KLHDC3	KLHDC3	KLHDC3
OG0005646	KLHL12	KLHL12	KLHL12
OG0005647	KLHL14	KLHL14	KLHL14
OG0005648	KLHL18	KLHL18	KLHL18
OG0005649	KLHL21	KLHL21	KLHL21
OG0005650	KLHL22	KLHL22	LOC116939082
OG0005651	KLHL24	KLHL24	KLHL24
OG0005652	KLHL26	KLHL26	KLHL26
OG0005653	KLHL30	LOC133351214	KLHL30
OG0005654	KLHL31	KLHL31	KLHL31
OG0005655	KLHL38	KLHL38	KLHL38
OG0005656	KMO	KMO	KMO
OG0005657	KMT2E	KMT2E	KMT2E
OG0005658	KNDC1	LOC133343244	LOC116940665
OG0005659	KPNA2	LOC133348011	KPNA2
OG0005660	KPNA3	KPNA3	KPNA3
OG0005661	KPNB1	KPNB1	KPNB1
OG0005662	KPTN	KPTN	KPTN
OG0005663	KRIT1	KRIT1	KRIT1
OG0005664	KRTCAP2	KRTCAP2	KRTCAP2
OG0005665	KTI12	KTI12	KTI12
OG0005666	KYNU	KYNU	KYNU
OG0005667	L3HYPDH	L3HYPDH	L3HYPDH
OG0005668	L3MBTL3	L3MBTL3	L3MBTL3
OG0005669	LACTB2	LACTB2	LACTB2
OG0005670	LAMTOR2	LAMTOR2	LAMTOR2
OG0005671	LAMTOR5	LAMTOR5	LAMTOR5
OG0005672	LANCL2	LANCL2	LANCL2
OG0005673	LAP3	LAP3	LAP3
OG0005674	LARS1	LARS1	LARS1
OG0005675	LARS2	LARS2	LARS2
OG0005676	LBX2	LBX2	LOC116940557
OG0005677	LCLAT1	LCLAT1	LCLAT1
OG0005678	LCMT1	LCMT1	LCMT1
OG0005679	LCORL	LOC133343486	LOC116940649
OG0005680	LDAH	LDAH	LDAH
OG0005681	LDB3	LOC133350747	LOC116940149
OG0005682	LDLRAD2	LDLRAD2	LOC116950539
OG0005683	LEO1	LEO1	LEO1
OG0005684	LETMD1	LETMD1	LETMD1
OG0005685	LGI1	LGI1	LGI1
OG0005686	LIAS	LIAS	LIAS
OG0005687	LIG1	LIG1	LIG1
OG0005688	LIG3	LIG3	LIG3
OG0005689	LIG4	LIG4	LIG4
OG0005690	LIN37	LIN37	LIN37
OG0005691	LIN52	LIN52	LIN52
OG0005692	LIN9	LIN9	LIN9
OG0005693	LINGO1	LOC133346412	LOC116947748
OG0005694	LINS1	LOC133343641	LINS1
OG0005695	LIPT1	LIPT1	LIPT1
OG0005696	LIPT2	LIPT2	LIPT2
OG0005697	LIX1L	LIX1L	LIX1L
OG0005698	LLPH	LOC133356593	LOC116951195
OG0005699	LMAN1	LOC133346749	LOC116940854
OG0005700	LMBRD1	LMBRD1	LMBRD1
OG0005702	LMCD1	LMCD1	LMCD1
OG0005703	LMF1	LMF1	LMF1
OG0005704	LMLN	LMLN	LMLN
OG0005705	LMO2	LMO2	LMO2
OG0005706	LMOD3	LOC133356568	LOC116951243
OG0005707	LNPK	LNPK	LNPK
OG0005709	LOC137410806	LOC133356187	LOC116944010
OG0005714	LOC137410872	TTLL5	TTLL5
OG0005718	LOC137410946	LOC133360548	LOC116956677
OG0005719	LOC137410997	DPP4	DPP4
OG0005721	LOC137411077	LOC133356386	LOC116943981
OG0005723	LOC137411111	LOC133357129	LOC116943921
OG0005725	LOC137411122	LOC133356743	LOC116943923
OG0005727	LOC137411436	LOC133359225	SF3A2
OG0005729	LOC137411438	LOC133346365	LOC116941637
OG0005731	LOC137411496	LOC133359016	LOC116941539
OG0005734	LOC137411545	LOC133354953	RECQL
OG0005735	LOC137411550	LOC133349818	OXSR1
OG0005736	LOC137411552	STAM	STAM
OG0005737	LOC137411570	LOC133346993	LOC116939373
OG0005743	LOC137411840	LOC133344249	LOC116941575
OG0005744	LOC137411855	LOC133344240	LOC116941589
OG0005745	LOC137411856	LOC133344233	LOC116941588
OG0005747	LOC137411860	OSTF1	OSTF1
OG0005748	LOC137411863	LOC133356164	LOC116953840
OG0005749	LOC137411899	LOC133351850	LOC116948855
OG0005753	LOC137412085	PLRG1	PLRG1
OG0005754	LOC137412137	LOC133354952	LOC116952148
OG0005755	LOC137412178	LOC133355881	LOC116954182
OG0005756	LOC137412233	LOC133342883	LOC116942839
OG0005757	LOC137412240	LOC133350258	LOC116939969
OG0005758	LOC137412243	LOC133345037	LOC116946159
OG0005759	LOC137412281	CYTIP	CYTIP
OG0005762	LOC137412332	LOC133357881	NKRF
OG0005764	LOC137412342	LOC133348769	GOLGA3
OG0005765	LOC137412352	LOC133351786	LOC116947457
