OrganismShortName	OrganismID	OrganismColor	AnnotationSource	ProteinSource	CMAF	NRL	MAFA	MAFB	MAFF	MAFG	MAFK	OTX1	OTX2	CRX
cichlid	Archocentrus_centrarchus	Teleost ray-finned fishes	GCF Near	Denovo	cichlid__Unknown__TRINITY_DN43933_c0_g1_i1.p1	cichlid__Unknown__TRINITY_DN244_c0_g1_i1.p1		cichlid__Unknown__TRINITY_DN10095_c0_g1_i1.p1,cichlid__Unknown__TRINITY_DN51_c1_g1_i1.p1	cichlid__Unknown__TRINITY_DN48907_c0_g1_i1.p1				cichlid__Unknown__TRINITY_DN5108_c0_g1_i1.p1	cichlid__Unknown__TRINITY_DN4460_c0_g1_i1.p1,cichlid__Unknown__TRINITY_DN7215_c0_g1_i1.p1
tilapia	Oreochromis_mossambicus	Teleost ray-finned fishes	GCF Near											
flavescentPeacockFish	Aulonocara_stuartgranti	Teleost ray-finned fishes	GCF	Annotated	flavescentPeacockFish__mafa__XP_030613676.1,flavescentPeacockFish__LOC115781690__XP_030587350.1	flavescentPeacockFish__nrl__XP_030583765.1	flavescentPeacockFish__mafaa__XP_030584217.1	flavescentPeacockFish__LOC115780235__XP_030585184.1,flavescentPeacockFish__mafba__XP_030590400.1	flavescentPeacockFish__LOC115798469__XP_074930552.1	flavescentPeacockFish__LOC115785214__XP_030592582.1,flavescentPeacockFish__mafgb__XP_030592808.1	flavescentPeacockFish__mafk__XP_030591848.1	flavescentPeacockFish__otx1__XP_030603933.1,flavescentPeacockFish__LOC115784140__XP_030591115.1		flavescentPeacockFish__crx__XP_030601988.1,flavescentPeacockFish__LOC115790034__XP_030599542.1
yellowPeacockFish	Aulonocara_baenschi	Teleost ray-finned fishes	GCF Near	Denovo	yellowPeacockFish__Unknown__TRINITY_DN94104_c0_g1_i1.p2,yellowPeacockFish__Unknown__TRINITY_DN11970_c0_g1_i2.p5,yellowPeacockFish__Unknown__TRINITY_DN17161_c0_g1_i1.p1	yellowPeacockFish__Unknown__TRINITY_DN1945_c0_g1_i2.p1	yellowPeacockFish__Unknown__TRINITY_DN83637_c0_g1_i1.p1	yellowPeacockFish__Unknown__TRINITY_DN38441_c0_g1_i2.p1,yellowPeacockFish__Unknown__TRINITY_DN6718_c0_g1_i1.p1	yellowPeacockFish__Unknown__TRINITY_DN4395_c0_g1_i2.p2	yellowPeacockFish__Unknown__TRINITY_DN10960_c0_g2_i1.p1,yellowPeacockFish__Unknown__TRINITY_DN10960_c0_g1_i5.p1	yellowPeacockFish__Unknown__TRINITY_DN97312_c0_g1_i1.p1	yellowPeacockFish__Unknown__TRINITY_DN68774_c0_g1_i1.p1,yellowPeacockFish__Unknown__TRINITY_DN12787_c0_g1_i2.p1	yellowPeacockFish__Unknown__TRINITY_DN36704_c0_g1_i1.p1,yellowPeacockFish__Unknown__TRINITY_DN78927_c0_g1_i2.p1	yellowPeacockFish__Unknown__TRINITY_DN64_c1_g1_i1.p1,yellowPeacockFish__Unknown__TRINITY_DN4424_c0_g2_i1.p1
triggerfish	Rhinecanthus_aculeatus	Teleost ray-finned fishes	GCF Near	Denovo								triggerfish__Unknown__TRINITY_DN9761_c0_g1_i2.p1		triggerfish__Unknown__TRINITY_DN301_c0_g2_i5.p1,triggerfish__Unknown__TRINITY_DN301_c0_g1_i2.p1
oceanJacket	Nelusetta_ayraudi	Teleost ray-finned fishes	GCF	Annotated	oceanJacket__mafa__XP_075879646.1,oceanJacket__LOC142903523__XP_075905321.1	oceanJacket__nrl__XP_075895450.1	oceanJacket__mafaa__XP_075901712.1	oceanJacket__mafbb__XP_075903975.1,oceanJacket__mafba__XP_075882207.1	oceanJacket__maff__XP_075890875.1	oceanJacket__mafgb__XP_075895695.1,oceanJacket__LOC142886990__XP_075880409.1	oceanJacket__mafk__XP_075894952.1	oceanJacket__otx1__XP_075906938.1,oceanJacket__LOC142881380__XP_075871769.1,oceanJacket__LOC142903351__XP_075905034.1		oceanJacket__LOC142884405__XP_075876083.1,oceanJacket__LOC142903970__XP_075905998.1
giltheadBream	Sparus_aurata	Teleost ray-finned fishes	GCF	Annotated	giltheadBream__mafa__XP_030270417.1,giltheadBream__LOC115586770__XP_030281966.1	giltheadBream__nrl__XP_030288310.1	giltheadBream__mafaa__XP_030287986.1	giltheadBream__mafbb__XP_030276052.1,giltheadBream__mafba__XP_030279318.1	giltheadBream__maff__XP_030257020.1	giltheadBream__LOC115576097__XP_030264467.1,giltheadBream__mafgb__XP_030252038.1	giltheadBream__mafk__XP_030264057.1	giltheadBream__otx1__XP_030296709.1,giltheadBream__LOC115592924__XP_030292055.1		giltheadBream__crx__XP_030293809.1,giltheadBream__LOC115594333__XP_030294209.1
giltheadBream	Sparus_aurata	Teleost ray-finned fishes	GCF	Denovo		giltheadBream__Unknown__TRINITY_DN3014_c0_g2_i1.p1		giltheadBream__Unknown__TRINITY_DN35955_c0_g1_i1.p1,giltheadBream__Unknown__TRINITY_DN9304_c2_g2_i1.p1					giltheadBream__Unknown__TRINITY_DN2142_c0_g1_i2.p1	giltheadBream__Unknown__TRINITY_DN955_c0_g1_i1.p1,giltheadBream__Unknown__TRINITY_DN989_c1_g2_i7.p1
oldwife	Enoplosus_armatus	Teleost ray-finned fishes	GCF	Annotated	oldwife__mafa__XP_070760746.1,oldwife__LOC139286594__XP_070763562.1	oldwife__nrl__XP_070764973.1	oldwife__mafaa__XP_070765312.1	oldwife__mafbb__XP_070758187.1,oldwife__mafba__XP_070766159.1	oldwife__maff__XP_070783430.1	oldwife__LOC139300464__XP_070779677.1,oldwife__mafgb__XP_070778961.1	oldwife__mafk__XP_070778581.1	oldwife__otx1__XP_070772027.1,oldwife__LOC139294521__XP_070772537.1		oldwife__LOC139285196__XP_070761798.1,oldwife__crx__XP_070773366.1
bluegill	Lepomis_macrochirus	Teleost ray-finned fishes	GCF Near	Denovo	bluegill__Unknown__TRINITY_DN9939_c0_g5_i1.p1,bluegill__Unknown__TRINITY_DN9939_c0_g1_i1.p2	bluegill__Unknown__TRINITY_DN114_c13_g1_i13.p1	bluegill__Unknown__TRINITY_DN10979_c0_g1_i6.p1	bluegill__Unknown__TRINITY_DN145182_c0_g1_i1.p1,bluegill__Unknown__TRINITY_DN1031_c1_g1_i8.p1	bluegill__Unknown__TRINITY_DN271_c0_g1_i4.p1	bluegill__Unknown__TRINITY_DN16904_c1_g4_i3.p1,bluegill__Unknown__TRINITY_DN3176_c1_g1_i2.p1	bluegill__Unknown__TRINITY_DN16904_c1_g1_i2.p1	bluegill__Unknown__TRINITY_DN2873_c0_g3_i1.p1,bluegill__Unknown__TRINITY_DN19799_c1_g1_i1.p1	bluegill__Unknown__TRINITY_DN1735_c0_g1_i11.p1,bluegill__Unknown__TRINITY_DN2248_c1_g1_i4.p1	bluegill__Unknown__TRINITY_DN1490_c1_g1_i5.p1,bluegill__Unknown__TRINITY_DN2316_c1_g2_i1.p1
coelacanth	Latimeria_chalumnae	Lobe-finned fishes	GCF	Annotated	coelacanth__LOC102348657__XP_014344902.1	coelacanth__LOC102354056__XP_005994483.1	coelacanth__MAFAA__XP_006007664.1	coelacanth__LOC102365976__XP_005990472.1	coelacanth__LOC102353766__XP_014352934.1	coelacanth__LOC102359190__XP_064423458.1		coelacanth__OTX1__XP_005989615.1	coelacanth__OTX2B__XP_005986517.1	coelacanth__LOC102351276__XP_005987868.1
lungfish	Protopterus_annectens	Lobe-finned fishes	GCF	Annotated	lungfish__MAF__XP_043937739.1	lungfish__LOC122790346__XP_043913796.1	lungfish__MAFA__XP_043923271.1	lungfish__MAFB__XP_043946392.1	lungfish__MAFF__XP_043924399.1	lungfish__MAFG__XP_043924159.1		lungfish__OTX1__XP_043911449.1	lungfish__OTX2__XP_043930372.1	lungfish__LOC122811864__XP_043940051.1
tinyCaecilian	Microcaecilia_unicolor	Amphibians	GCF	Annotated	tinyCaecilian__MAF__XP_030060362.1	tinyCaecilian__NRL__XP_030043638.1	tinyCaecilian__MAFA__XP_030075691.1	tinyCaecilian__MAFB__XP_030068487.1	tinyCaecilian__MAFF__XP_030064149.1	tinyCaecilian__LOC115462212__XP_030048085.1,tinyCaecilian__MAFG__XP_030061033.1	tinyCaecilian__MAFK__XP_030068393.1	tinyCaecilian__OTX1__XP_030050515.1	tinyCaecilian__OTX2__XP_030070658.1	tinyCaecilian__CRX__XP_030075057.1
twolinedCaecilian	Rhinatrema_bivittatum	Amphibians	GCF	Annotated	twolinedCaecilian__MAF__XP_029464021.1	twolinedCaecilian__NRL__XP_029436441.1	twolinedCaecilian__MAFA__XP_029448037.1	twolinedCaecilian__LOC115097897__XP_029469921.1	twolinedCaecilian__MAFF__XP_029446022.1	twolinedCaecilian__MAFG__XP_029454938.1	twolinedCaecilian__MAFK__XP_029432539.1	twolinedCaecilian__OTX1__XP_029449529.1	twolinedCaecilian__OTX2__XP_029453271.1	twolinedCaecilian__LOC115100686__XP_029475258.1
chineseSalamander	Andrias_davidianus	Amphibians	GCF Near	Denovo	chineseSalamander__Unknown__TRINITY_DN5327_c0_g2_i1.p3,chineseSalamander__Unknown__TRINITY_DN7869_c2_g1_i1.p1	chineseSalamander__Unknown__TRINITY_DN15256_c0_g3_i1.p1	chineseSalamander__Unknown__TRINITY_DN45281_c0_g1_i1.p1	chineseSalamander__Unknown__TRINITY_DN30536_c0_g1_i2.p1	chineseSalamander__Unknown__TRINITY_DN98594_c0_g1_i1.p2	chineseSalamander__Unknown__TRINITY_DN13272_c0_g1_i1.p1	chineseSalamander__Unknown__TRINITY_DN56040_c0_g1_i2.p1	chineseSalamander__Unknown__TRINITY_DN10725_c1_g1_i4.p1	chineseSalamander__Unknown__TRINITY_DN94097_c0_g1_i1.p2	chineseSalamander__Unknown__TRINITY_DN1080_c0_g1_i1.p1
axolotl	Ambystoma_mexicanum	Amphibians	GCF	Annotated	axolotl__MAF__XP_069508968.1	axolotl__LOC138521230__XP_069490020.1	axolotl__MAFA__XP_069477854.1	axolotl__MAFB__XP_069508371.1	axolotl__MAFF__XP_069509081.1	axolotl__MAFG__XP_069511406.1	axolotl__MAFK__XP_069503740.1	axolotl__OTX1__XP_069464308.1	axolotl__OTX2__XP_069494173.1	axolotl__LOC138566747__XP_069500480.1
redSalamander	Plethodon_cinereus	Amphibians	GCF Near	Denovo	redSalamander__Unknown__TRINITY_DN19329_c0_g1_i1.p1	redSalamander__Unknown__TRINITY_DN195585_c0_g1_i1.p1,redSalamander__Unknown__TRINITY_DN3202_c1_g1_i9.p1,Salamander_2_PLCI2_TRINITY_DN574_c0_g3_i1.p1,Salamander_1_PLCI0_TRINITY_DN937_c0_g1_i4.p1	redSalamander__Unknown__TRINITY_DN3785_c6_g1_i3.p1	redSalamander__Unknown__TRINITY_DN22393_c0_g1_i1.p1	redSalamander__Unknown__TRINITY_DN12403_c0_g1_i2.p2	redSalamander__Unknown__TRINITY_DN278064_c0_g1_i1.p1	redSalamander__Unknown__TRINITY_DN26937_c0_g1_i1.p1	redSalamander__Unknown__TRINITY_DN271388_c0_g1_i1.p1,redSalamander__Unknown__TRINITY_DN2759_c0_g2_i1.p1	redSalamander__Unknown__TRINITY_DN238021_c0_g1_i1.p1	redSalamander__Unknown__TRINITY_DN244441_c0_g1_i1.p2,redSalamander__Unknown__TRINITY_DN25928_c1_g1_i1.p2,redSalamander__Unknown__TRINITY_DN1457_c1_g1_i8.p1
himalayaFrog	Nanorana_parkeri	Amphibians	GCF	Annotated	himalayaFrog__MAF__XP_018411242.1	himalayaFrog__LOC108786756__XP_018411616.1	himalayaFrog__MAFA__XP_018414465.1	himalayaFrog__MAFB__XP_018411672.1	himalayaFrog__MAFF__XP_018426547.1	himalayaFrog__MAFG__XP_018409131.1	himalayaFrog__MAFK__XP_018412616.1	himalayaFrog__OTX1__XP_018411224.1	himalayaFrog__OTX2__XP_018418283.1	himalayaFrog__CRX__XP_018411526.1
westernFrog	Xenopus_tropicalis	Amphibians	GCF	Annotated	westernFrog__maf__NP_001027476.1	westernFrog__nrl__XP_012808720.1	westernFrog__mafa__NP_001027475.1	westernFrog__mafb__NP_001025694.1	westernFrog__maff__XP_002934281.1	westernFrog__mafg__XP_004916428.1	westernFrog__mafk__XP_031748285.1	westernFrog__otx1__XP_031757465.1	westernFrog__otx2__XP_012823826.1	westernFrog__crx__XP_012823813.2
westernFrog	Xenopus_tropicalis	Amphibians	GCF	Denovo	westernFrog__Unknown__TRINITY_DN48255_c1_g1_i2.p1	westernFrog__Unknown__TRINITY_DN19487_c0_g1_i4.p1,westernFrog__Unknown__TRINITY_DN48255_c0_g1_i1.p1,Frog_western_0_XETR0_TRINITY_DN11106_c0_g1_i1.p1	westernFrog__Unknown__TRINITY_DN144466_c0_g1_i1.p2	westernFrog__Unknown__TRINITY_DN5068_c0_g1_i1.p1	westernFrog__Unknown__TRINITY_DN3796_c0_g1_i25.p1	westernFrog__Unknown__TRINITY_DN25049_c0_g1_i1.p1	westernFrog__Unknown__TRINITY_DN5471_c0_g1_i11.p1	westernFrog__Unknown__TRINITY_DN10263_c0_g1_i2.p1	westernFrog__Unknown__TRINITY_DN187980_c0_g1_i1.p1,westernFrog__Unknown__TRINITY_DN500_c0_g1_i16.p1	westernFrog__Unknown__TRINITY_DN914_c0_g1_i24.p1,westernFrog__Unknown__TRINITY_DN4469_c1_g2_i2.p1
africanFrog	Xenopus_laevis	Amphibians	GCF	Annotated	africanFrog__maf.S__XP_041417067.1,africanFrog__maf.L__XP_041446090.1	africanFrog__nrl.S__NP_001079206.1,africanFrog__nrl.L__XP_018115091.1	africanFrog__mafa.S__XP_018079484.1,africanFrog__mafa.L__XP_018123804.1	africanFrog__mafb.L__XP_018090693.1,africanFrog__mafb.S__NP_001083852.1	africanFrog__maff.L__XP_018114367.1,africanFrog__maff.S__XP_018115181.1	africanFrog__mafg.L__XP_041432720.1	africanFrog__mafk.S__XP_018094625.1,africanFrog__mafk.L__XP_041432184.1	africanFrog__otx1.L__XP_018117180.1	africanFrog__otx2.S__NP_001084160.1,africanFrog__otx2.L__XP_018084329.1	africanFrog__crx.L__NP_001081916.1,africanFrog__crx.S__XP_041429996.1
africanFrog	Xenopus_laevis	Amphibians	GCF	Denovo	africanFrog__Unknown__TRINITY_DN14060_c0_g1_i2.p1,africanFrog__Unknown__TRINITY_DN40255_c0_g1_i2.p1	africanFrog__Unknown__TRINITY_DN6850_c0_g1_i4.p1	africanFrog__Unknown__TRINITY_DN4799_c0_g1_i4.p1,africanFrog__Unknown__TRINITY_DN1995_c0_g1_i8.p1	africanFrog__Unknown__TRINITY_DN4055_c0_g1_i9.p1	africanFrog__Unknown__TRINITY_DN34057_c0_g1_i12.p1	africanFrog__Unknown__TRINITY_DN37798_c0_g1_i1.p1	africanFrog__Unknown__TRINITY_DN74455_c0_g1_i1.p1		africanFrog__Unknown__TRINITY_DN35711_c0_g1_i11.p1	africanFrog__Unknown__TRINITY_DN2775_c0_g1_i4.p1
tokayGecko	Gekko_gecko	Squamata (lizards and snakes)	GCF Near	Denovo	tokayGecko__Unknown__TRINITY_DN412_c1_g1_i1.p2,tokayGecko__Unknown__TRINITY_DN18467_c1_g5_i1.p1	tokayGecko__Unknown__TRINITY_DN1067_c0_g1_i2.p1	tokayGecko__Unknown__TRINITY_DN2203_c0_g1_i2.p5	tokayGecko__Unknown__TRINITY_DN307_c4_g1_i1.p2	tokayGecko__Unknown__TRINITY_DN2687_c0_g1_i2.p1	tokayGecko__Unknown__TRINITY_DN4607_c0_g1_i9.p1	tokayGecko__Unknown__TRINITY_DN6989_c0_g1_i1.p1	tokayGecko__Unknown__TRINITY_DN2269_c8_g1_i1.p4,tokayGecko__Unknown__TRINITY_DN957_c7_g1_i1.p3	tokayGecko__Unknown__TRINITY_DN957_c5_g1_i3.p1	tokayGecko__Unknown__TRINITY_DN4063_c0_g1_i8.p1
japaneseGecko	Gekko_japonicus	Squamata (lizards and snakes)	GCF	Annotated	japaneseGecko__MAF__XP_015285014.1	japaneseGecko__NRL__XP_015269140.1	japaneseGecko__MAFA__XP_015273594.1	japaneseGecko__MAFB__XP_015260977.1	japaneseGecko__MAFF__XP_015274659.1	japaneseGecko__MAFG__XP_015275850.1	japaneseGecko__MAFK__XP_015276628.1	japaneseGecko__LOC107107343__XP_015263117.1	japaneseGecko__OTX2__XP_015262914.1	japaneseGecko__LOC107121371__XP_015279773.1
sandLizard	Lacerta_agilis	Squamata (lizards and snakes)	GCF	Annotated	sandLizard__MAF__XP_033013070.1	sandLizard__NRL__XP_033026288.1	sandLizard__MAFA__XP_033011850.1	sandLizard__MAFB__XP_033009283.1	sandLizard__MAFF__XP_033018043.1	sandLizard__MAFG__XP_032994994.1	sandLizard__MAFK__XP_033022525.1	sandLizard__OTX1__XP_033001507.1	sandLizard__OTX2__XP_033024617.1	sandLizard__LOC117052044__XP_033014662.1
tawnyDragon	Ctenophorus_decresii	Squamata (lizards and snakes)	GCF Near	Denovo	tawnyDragon__Unknown__TRINITY_DN1040_c26_g1_i1.p2	tawnyDragon__Unknown__TRINITY_DN174348_c0_g1_i1.p1	tawnyDragon__Unknown__TRINITY_DN121779_c0_g1_i1.p2,tawnyDragon__Unknown__TRINITY_DN7913_c3_g1_i1.p3	tawnyDragon__Unknown__TRINITY_DN1840_c1_g1_i1.p1	tawnyDragon__Unknown__TRINITY_DN9032_c0_g1_i1.p1	tawnyDragon__Unknown__TRINITY_DN5115_c0_g1_i4.p1	tawnyDragon__Unknown__TRINITY_DN8715_c0_g1_i33.p1	tawnyDragon__Unknown__TRINITY_DN29177_c0_g1_i6.p1	tawnyDragon__Unknown__TRINITY_DN2840_c0_g1_i9.p2	tawnyDragon__Unknown__TRINITY_DN27998_c0_g1_i2.p1,tawnyDragon__Unknown__TRINITY_DN322_c0_g1_i9.p1
beardedDragon	Pogona_vitticeps	Squamata (lizards and snakes)	GCF	Annotated	beardedDragon__MAF__XP_020657363.1	beardedDragon__NRL__XP_020664985.1	beardedDragon__MAFA__XP_020669048.1	beardedDragon__MAFB__XP_020644911.1	beardedDragon__MAFF__XP_020643246.1	beardedDragon__MAFG__XP_020670010.1	beardedDragon__MAFK__XP_020659950.1	beardedDragon__OTX1__XP_020646291.1	beardedDragon__OTX2__XP_020658164.1	beardedDragon__LOC110088518__XP_020666511.1
greenAnole	Anolis_carolinensis	Squamata (lizards and snakes)	GCF	Annotated	greenAnole__maf__XP_008112130.2	greenAnole__nrl__XP_062814062.1	greenAnole__mafa__XP_062835983.1	greenAnole__mafb__XP_008115790.2	greenAnole__maff__XP_003227196.2	greenAnole__mafg__XP_008102792.1	greenAnole__mafk__XP_008116599.1	greenAnole__otx1__XP_062815107.1	greenAnole__otx2__XP_062824717.1	greenAnole__LOC100559672__XP_062818439.1
greenAnole	Anolis_carolinensis	Squamata (lizards and snakes)	GCF	Denovo	greenAnole__Unknown__TRINITY_DN17345_c0_g1_i1.p2	Anole_ANCA2_TRINITY_DN31407_c4_g1_i1.p1,greenAnole__Unknown__TRINITY_DN6610_c2_g1_i3.p1	greenAnole__Unknown__TRINITY_DN2134_c5_g1_i1.p2,greenAnole__Unknown__TRINITY_DN3642_c0_g1_i1.p2	greenAnole__Unknown__TRINITY_DN5789_c0_g1_i1.p2	greenAnole__Unknown__TRINITY_DN5970_c0_g1_i2.p1	greenAnole__Unknown__TRINITY_DN3426_c0_g4_i2.p1	greenAnole__Unknown__TRINITY_DN6663_c0_g1_i1.p1		greenAnole__Unknown__TRINITY_DN615_c1_g1_i2.p1	greenAnole__Unknown__TRINITY_DN133_c2_g1_i2.p2
brownAnole	Anolis_sagrei	Squamata (lizards and snakes)	GCF	Annotated	brownAnole__MAF__XP_060644362.2	brownAnole__NRL__XP_060635977.1	brownAnole__MAFA__XP_060631969.2	brownAnole__MAFB__XP_060628215.2	brownAnole__MAFF__XP_060633020.1	brownAnole__MAFG__XP_060620842.1	brownAnole__LOC132782144__XP_060642834.2,brownAnole__LOC137095487__XP_067318314.1	brownAnole__OTX1__XP_067325612.1	brownAnole__OTX2__XP_067319192.1	brownAnole__LOC132780209__XP_060639772.1,brownAnole__LOC137095319__XP_067317913.1
python	Python_bivittatus	Squamata (lizards and snakes)	GCF	Annotated	python__LOC103049108__XP_025027841.1	python__NRL__XP_007437369.1		python__MAFB__XP_015744577.1	python__MAFF__XP_025025777.1	python__MAFG__XP_007427839.1	python__MAFK__XP_007442315.1	python__LOC103067230__XP_025022551.1	python__OTX2__XP_007422992.1	python__CRX__XP_007427043.1
groundBoa	Candoia_aspera	Squamata (lizards and snakes)	GCF	Annotated	groundBoa__MAF__XP_063169066.1	groundBoa__NRL__XP_063157679.1	groundBoa__MAFA__XP_063156075.1	groundBoa__MAFB__XP_063153241.1	groundBoa__MAFF__XP_063164167.1	groundBoa__MAFG__XP_063149356.1	groundBoa__MAFK__XP_063170913.1	groundBoa__OTX1__XP_063147491.1	groundBoa__OTX2__XP_063150066.1	groundBoa__LOC134503250__XP_063168066.1
cobra	Naja_naja	Squamata (lizards and snakes)	GCF Near	Denovo	cobra__Unknown__TRINITY_DN21661_c0_g1_i1.p2			cobra__Unknown__TRINITY_DN55440_c0_g1_i1.p1	cobra__Unknown__TRINITY_DN44411_c0_g1_i1.p1			cobra__Unknown__TRINITY_DN10102_c0_g1_i1.p1	cobra__Unknown__TRINITY_DN34587_c0_g1_i1.p1	cobra__Unknown__TRINITY_DN41511_c0_g1_i1.p1
garterSnake	Thamnophis_sirtalis	Squamata (lizards and snakes)	GCF	Annotated	garterSnake__LOC106551874__XP_013925512.1	garterSnake__LOC106552296__XP_013926010.1	garterSnake__MAFA__XP_013917130.1	garterSnake__MAFB__XP_013914637.1	garterSnake__MAFF__XP_013910419.1	garterSnake__MAFG__XP_013916963.1	garterSnake__MAFK__XP_013916685.1	garterSnake__LOC106538819__XP_013908919.1,garterSnake__OTX1__XP_013919834.1	garterSnake__LOC106538813__XP_013908912.1	garterSnake__LOC106555201__XP_013929460.1
garterSnake	Thamnophis_sirtalis	Squamata (lizards and snakes)	GCF	Denovo	garterSnake__Unknown__TRINITY_DN14451_c0_g2_i1.p1,garterSnake__Unknown__TRINITY_DN14451_c0_g1_i1.p1	garterSnake__Unknown__TRINITY_DN7014_c0_g1_i5.p2	garterSnake__Unknown__TRINITY_DN4386_c0_g1_i1.p3,garterSnake__Unknown__TRINITY_DN1809_c0_g4_i1.p2	garterSnake__Unknown__TRINITY_DN2443_c0_g1_i1.p2	garterSnake__Unknown__TRINITY_DN1632_c0_g1_i2.p1	garterSnake__Unknown__TRINITY_DN40720_c0_g1_i1.p1	garterSnake__Unknown__TRINITY_DN63139_c0_g1_i1.p1	garterSnake__Unknown__TRINITY_DN5126_c0_g1_i9.p1	garterSnake__Unknown__TRINITY_DN588_c0_g1_i15.p1	garterSnake__Unknown__TRINITY_DN588_c0_g3_i3.p1
cornSnake	Pantherophis_guttatus	Squamata (lizards and snakes)	GCF	Annotated	cornSnake__MAF__XP_034281304.1	cornSnake__NRL__XP_060540776.1	cornSnake__MAFA__XP_034275836.1	cornSnake__MAFB__XP_034269821.1	cornSnake__MAFF__XP_034259519.1	cornSnake__MAFG__XP_034268786.1	cornSnake__MAFK__XP_034297459.1	cornSnake__OTX1__XP_060545338.1	cornSnake__OTX2__XP_034289343.1	cornSnake__LOC117677699__XP_034293968.1
greenTurtle	Chelonia_mydas	Turtles	GCF	Annotated	greenTurtle__MAF__XP_043381875.1	greenTurtle__NRL__XP_037733020.2	greenTurtle__MAFA__XP_043394915.1	greenTurtle__MAFB__XP_037771984.1	greenTurtle__MAFF__XP_043399227.1	greenTurtle__MAFG__XP_037770029.1	greenTurtle__MAFK__XP_007065416.2	greenTurtle__OTX1__XP_037752009.1	greenTurtle__OTX2__XP_043405691.1	greenTurtle__CRX__XP_037740430.1
redTurtle	Trachemys_scripta	Turtles	GCF	Annotated	redTurtle__MAF__XP_034643984.1		redTurtle__MAFA__XP_034619612.1	redTurtle__MAFB__XP_034643486.1	redTurtle__MAFF__XP_034632554.1	redTurtle__MAFG__XP_034645930.1	redTurtle__MAFK__XP_034638928.1	redTurtle__OTX1__XP_034622837.1	redTurtle__OTX2__XP_034626473.1	redTurtle__CRX__XP_034648312.1
americanAlligator	Alligator_mississippiensis	Crocodiles	GCF	Annotated	americanAlligator__MAF__XP_059569876.1	americanAlligator__NRL__XP_059586442.1	americanAlligator__MAFA__XP_006262735.1	americanAlligator__MAFB__XP_006265382.1	americanAlligator__MAFF__XP_059582394.1	americanAlligator__MAFG__XP_006270717.1	americanAlligator__MAFK__XP_019350258.2	americanAlligator__OTX1__XP_019356250.2	americanAlligator__OTX2__XP_019335474.1	americanAlligator__LOC102576692__XP_006265011.1
americanAlligator	Alligator_mississippiensis	Crocodiles	GCF	Denovo	americanAlligator__Unknown__TRINITY_DN5493_c0_g1_i7.p2,americanAlligator__Unknown__TRINITY_DN2819_c2_g1_i1.p1	americanAlligator__Unknown__TRINITY_DN1079_c2_g1_i3.p1,americanAlligator__Unknown__TRINITY_DN39821_c0_g1_i1.p1	americanAlligator__Unknown__TRINITY_DN17678_c2_g1_i1.p1	americanAlligator__Unknown__TRINITY_DN6785_c1_g1_i1.p3,americanAlligator__Unknown__TRINITY_DN6785_c1_g2_i1.p1	americanAlligator__Unknown__TRINITY_DN25409_c0_g1_i2.p2	americanAlligator__Unknown__TRINITY_DN16465_c2_g2_i1.p2	americanAlligator__Unknown__TRINITY_DN16465_c2_g1_i4.p1	americanAlligator__Unknown__TRINITY_DN223_c5_g1_i1.p2,americanAlligator__Unknown__TRINITY_DN8844_c0_g2_i1.p3,americanAlligator__Unknown__TRINITY_DN3711_c0_g2_i2.p2	americanAlligator__Unknown__TRINITY_DN223_c2_g1_i3.p2,americanAlligator__Unknown__TRINITY_DN223_c2_g2_i1.p1	americanAlligator__Unknown__TRINITY_DN15664_c0_g1_i1.p1,americanAlligator__Unknown__TRINITY_DN7145_c1_g1_i1.p2,americanAlligator__Unknown__TRINITY_DN223_c0_g2_i16.p1,americanAlligator__Unknown__TRINITY_DN223_c0_g1_i30.p1
chineseAlligator	Alligator_sinensis	Crocodiles	GCF	Annotated	chineseAlligator__LOC102381322__XP_025066811.1	chineseAlligator__NRL__XP_014381666.2	chineseAlligator__MAFA__XP_006039548.2	chineseAlligator__MAFB__XP_006016713.1	chineseAlligator__MAFF__XP_014378316.1	chineseAlligator__MAFG__XP_006038228.1	chineseAlligator__MAFK__XP_025068149.1		chineseAlligator__OTX2__XP_014372934.1	chineseAlligator__LOC102370507__XP_025049174.1
emu	Dromaius_novaehollandiae	Birds	GCF	Annotated	emu__MAF__XP_064375807.1		emu__MAFA__XP_025969455.2	emu__MAFB__XP_025948812.1	emu__MAFF__XP_025957942.2	emu__MAFG__XP_064379007.1	emu__MAFK__XP_064376262.1	emu__OTX1__XP_064366196.1	emu__OTX2__XP_064369577.1	emu__LOC135325254__XP_064359194.1
emu	Dromaius_novaehollandiae	Birds	GCF	Denovo	emu__Unknown__TRINITY_DN6699_c1_g1_i1.p1			emu__Unknown__TRINITY_DN535_c2_g3_i1.p1	emu__Unknown__TRINITY_DN8089_c0_g1_i1.p1		emu__Unknown__TRINITY_DN401_c0_g1_i1.p1	emu__Unknown__TRINITY_DN535_c1_g3_i1.p1	emu__Unknown__TRINITY_DN526_c0_g3_i1.p1,emu__Unknown__TRINITY_DN526_c0_g2_i10.p1	emu__Unknown__TRINITY_DN2432_c0_g2_i3.p4
