OrganismShortName	SpeciesGroup	GeneGroup	ProteinID
harpyEagle	bird	MAFF	harpyEagle__MAFF__XP_052646533.1
hawaiianCrow	bird	MAFF	hawaiianCrow__MAFF__XP_048158218.1
honeyguide	bird	MAFF	honeyguide__MAFF__XP_054242609.1
hoodedCrow	bird	MAFF	hoodedCrow__MAFF__XP_039427476.1
littleOwl	bird	MAFF	littleOwl__MAFF__XP_074758587.1
mallardDuck	bird	MAFF	mallardDuck__MAFF__XP_027306343.1
mousebird	bird	MAFF	mousebird__MAFF__XP_061868468.1
ostrich	bird	MAFF	ostrich__MAFF__XP_068798295.1
peregrineFalcon	bird	MAFF	peregrineFalcon__MAFF__XP_055665148.1
pigeon	bird	MAFF	pigeon__MAFF__XP_064903426.1
quail	bird	MAFF	quail__MAFF__XP_015718579.1
tawnyOwl	bird	MAFF	tawnyOwl__MAFF__XP_074682748.1
uralOwl	bird	MAFF	uralOwl__MAFF__XP_074727268.1
whiteWagtail	bird	MAFF	whiteWagtail__MAFF__XP_038009455.1
zebrafinch	bird	MAFF	zebrafinch__MAFF__XP_030118873.1
barnOwl	bird	MAFG	barnOwl__MAFG__XP_032857737.1
budgerigar	bird	MAFG	budgerigar__MAFG__XP_033923786.1
canary	bird	MAFG	canary__MAFG__XP_030087135.1
chicken	bird	MAFG	chicken__MAFG__XP_015150912.1
commonBuzzard	bird	MAFG	commonBuzzard__MAFG__XP_074900176.1
commonKestrel	bird	MAFG	commonKestrel__gene_ENSFTIG00000000206__ENSFTIP00000000282
eagleOwl	bird	MAFG	eagleOwl__gene_ENSBOBG00000014112__ENSBOBP00000023575
emu	bird	MAFG	emu__MAFG__XP_064379007.1
goldenEagle	bird	MAFG	goldenEagle__MAFG__XP_040979213.1
gosHwak	bird	MAFG	gosHwak__MAFG__XP_049668419.1
harpyEagle	bird	MAFG	harpyEagle__MAFG__XP_052662950.1
honeyguide	bird	MAFG	honeyguide__MAFG__XP_054249713.1
hoodedCrow	bird	MAFG	hoodedCrow__MAFG__XP_039418133.1
littleOwl	bird	MAFG	littleOwl__MAFG__XP_074778000.1
mallardDuck	bird	MAFG	mallardDuck__MAFG__XP_005011602.1
mousebird	bird	MAFG	mousebird__MAFG__XP_061867004.1
ostrich	bird	MAFG	ostrich__MAFG__XP_009667074.2
peregrineFalcon	bird	MAFG	peregrineFalcon__MAFG__XP_055653462.1
pigeon	bird	MAFG	pigeon__MAFG__XP_064890380.1
quail	bird	MAFG	quail__MAFG__XP_015735390.1
sparrowHawk	bird	MAFG	sparrowHawk__gene_ENSANIG00000017332__ENSANIP00000025770
tawnyOwl	bird	MAFG	tawnyOwl__MAFG__XP_074703746.1
uralOwl	bird	MAFG	uralOwl__MAFG__XP_074745849.1
whiteWagtail	bird	MAFG	whiteWagtail__MAFG__XP_038012979.1
zebrafinch	bird	MAFG	zebrafinch__MAFG__XP_030143375.1
barnOwl	bird	MAFK	barnOwl__MAFK__XP_032848226.1
budgerigar	bird	MAFK	budgerigar__MAFK__XP_030901453.1
canary	bird	MAFK	canary__MAFK__XP_018771431.1
chicken	bird	MAFK	chicken__MAFK__XP_040503249.1
commonBuzzard	bird	MAFK	commonBuzzard__MAFK__XP_074914901.1
commonKestrel	bird	MAFK	commonKestrel__gene_ENSFTIG00000004082__ENSFTIP00000005895
eagleOwl	bird	MAFK	eagleOwl__gene_ENSBOBG00000007138__ENSBOBP00000011205
emu	bird	MAFK	emu__MAFK__XP_064376262.1
goldenEagle	bird	MAFK	goldenEagle__MAFK__XP_029857514.1
gosHwak	bird	MAFK	gosHwak__MAFK__XP_049647588.1
harpyEagle	bird	MAFK	harpyEagle__MAFK__XP_052628487.1
hawaiianCrow	bird	MAFK	hawaiianCrow__MAFK__XP_048176356.1
honeyguide	bird	MAFK	honeyguide__MAFK__XP_054247354.1
hoodedCrow	bird	MAFK	hoodedCrow__MAFK__XP_010390714.1
littleOwl	bird	MAFK	littleOwl__MAFK__XP_074774914.1
mallardDuck	bird	MAFK	mallardDuck__MAFK__XP_071880198.1
mousebird	bird	MAFK	mousebird__MAFK__XP_061848223.1
ostrich	bird	MAFK	ostrich__MAFK__XP_068764117.1
peregrineFalcon	bird	MAFK	peregrineFalcon__MAFK__XP_055660914.1
pigeon	bird	MAFK	pigeon__MAFK__XP_064887576.1
quail	bird	MAFK	quail__MAFK__XP_015732262.1
sparrowHawk	bird	MAFK	sparrowHawk__gene_ENSANIG00000015949__ENSANIP00000023462
tawnyOwl	bird	MAFK	tawnyOwl__MAFK__XP_074697581.1
uralOwl	bird	MAFK	uralOwl__MAFK__XP_074742748.1
whiteWagtail	bird	MAFK	whiteWagtail__MAFK__XP_038006777.1
zebrafinch	bird	MAFK	zebrafinch__MAFK__XP_072792010.1
barnOwl	bird	OTX1	barnOwl__OTX1__XP_042651876.1
budgerigar	bird	OTX1	budgerigar__OTX1__XP_033916893.1
canary	bird	OTX1	canary__OTX1__XP_050828896.1
chicken	bird	OTX1	chicken__OTX1__XP_015133598.2
commonBuzzard	bird	OTX1	commonBuzzard__OTX1__XP_074892886.1
commonKestrel	bird	OTX1	commonKestrel__gene_ENSFTIG00000009220__ENSFTIP00000013841
emu	bird	OTX1	emu__OTX1__XP_064366196.1
goldenEagle	bird	OTX1	goldenEagle__OTX1__XP_029879450.1
gosHwak	bird	OTX1	gosHwak__OTX1__XP_049655724.1
harpyEagle	bird	OTX1	harpyEagle__OTX1__XP_052641625.1
hawaiianCrow	bird	OTX1	hawaiianCrow__OTX1__XP_048155630.1
honeyguide	bird	OTX1	honeyguide__OTX1__XP_054239553.1
hoodedCrow	bird	OTX1	hoodedCrow__OTX1__XP_039425961.1
littleOwl	bird	OTX1	littleOwl__OTX1__XP_074783297.1
mallardDuck	bird	OTX1	mallardDuck__OTX1__XP_038032674.1
mousebird	bird	OTX1	mousebird__OTX1__XP_061846423.1
ostrich	bird	OTX1	ostrich__OTX1__XP_068792634.1
peregrineFalcon	bird	OTX1	peregrineFalcon__OTX1__XP_027635620.2
pigeon	bird	OTX1	pigeon__OTX1__XP_064915312.1
quail	bird	OTX1	quail__OTX1__XP_015712084.1
sparrowHawk	bird	OTX1	sparrowHawk__gene_ENSANIG00000004090__ENSANIP00000005991
tawnyOwl	bird	OTX1	tawnyOwl__OTX1__XP_074676687.1
uralOwl	bird	OTX1	uralOwl__OTX1__XP_074721005.1
whiteWagtail	bird	OTX1	whiteWagtail__OTX1__XP_037990010.1
zebrafinch	bird	OTX1	zebrafinch__OTX1__XP_030125146.3
barnOwl	bird	OTX2	barnOwl__OTX2__XP_042655204.1
canary	bird	OTX2	canary__OTX2__XP_009099887.1
chicken	bird	OTX2	chicken__OTX2__NP_989851.2
commonBuzzard	bird	OTX2	commonBuzzard__OTX2__XP_074887128.1
eagleOwl	bird	OTX2	eagleOwl__gene_ENSBOBG00000012921__ENSBOBP00000021265
emu	bird	OTX2	emu__OTX2__XP_064369577.1
goldenEagle	bird	OTX2	goldenEagle__OTX2__XP_029893759.1
gosHwak	bird	OTX2	gosHwak__OTX2__XP_049684633.1
harpyEagle	bird	OTX2	harpyEagle__OTX2__XP_052639501.1
hawaiianCrow	bird	OTX2	hawaiianCrow__OTX2__XP_048164168.1
honeyguide	bird	OTX2	honeyguide__OTX2__XP_054256273.1
hoodedCrow	bird	OTX2	hoodedCrow__OTX2__XP_039408898.1
littleOwl	bird	OTX2	littleOwl__OTX2__XP_074765007.1
mallardDuck	bird	OTX2	mallardDuck__OTX2__XP_027315034.1
ostrich	bird	OTX2	ostrich__OTX2__XP_009668952.1
peregrineFalcon	bird	OTX2	peregrineFalcon__OTX2__XP_055649825.1
pigeon	bird	OTX2	pigeon__OTX2__XP_064919169.1
quail	bird	OTX2	quail__OTX2__XP_015721371.1
tawnyOwl	bird	OTX2	tawnyOwl__OTX2__XP_074677150.1
uralOwl	bird	OTX2	uralOwl__OTX2__XP_074725217.1
whiteWagtail	bird	OTX2	whiteWagtail__OTX2__XP_037994591.1
zebrafinch	bird	OTX2	zebrafinch__OTX2__XP_030131074.1
budgerigar	bird	CRX	budgerigar__OTX2__XP_033918106.1
commonBuzzard	bird	CRX	commonBuzzard__LOC142026825__XP_074876327.1
eagleOwl	bird	CRX	eagleOwl__gene_ENSBOBG00000007943__ENSBOBP00000012515
emu	bird	CRX	emu__LOC135325254__XP_064359194.1
gosHwak	bird	CRX	gosHwak__LOC126037476__XP_049653753.1
harpyEagle	bird	CRX	harpyEagle__LOC128138109__XP_052635385.1
hawaiianCrow	bird	CRX	hawaiianCrow__LOC125334224__XP_048176825.1
hoodedCrow	bird	CRX	hoodedCrow__CRX__XP_039428352.1
littleOwl	bird	CRX	littleOwl__CRX__XP_074786787.1
mallardDuck	bird	CRX	mallardDuck__LOC140000269__XP_071886214.1
mousebird	bird	CRX	mousebird__OTX2__XP_061854290.1
ostrich	bird	CRX	ostrich__CRX__XP_068766418.1
pigeon	bird	CRX	pigeon__LOC102094696__XP_064900299.1
sparrowHawk	bird	CRX	sparrowHawk__gene_ENSANIG00000015598__ENSANIP00000022914
sparrowHawk	bird	CRX	sparrowHawk__gene_ENSANIG00000016085__ENSANIP00000023696
sparrowHawk	bird	CRX	sparrowHawk__gene_ENSANIG00000017996__ENSANIP00000026851
uralOwl	bird	CRX	uralOwl__LOC141938950__XP_074714081.1
zebrafinch	bird	CRX	zebrafinch__CRX__XP_072777012.1
americanAlligator	reptile	CMAF	americanAlligator__MAF__XP_059569876.1
beardedDragon	reptile	CMAF	beardedDragon__MAF__XP_020657363.1
brownAnole	reptile	CMAF	brownAnole__MAF__XP_060644362.2
chineseAlligator	reptile	CMAF	chineseAlligator__LOC102381322__XP_025066811.1
cornSnake	reptile	CMAF	cornSnake__MAF__XP_034281304.1
garterSnake	reptile	CMAF	garterSnake__LOC106551874__XP_013925512.1
greenAnole	reptile	CMAF	greenAnole__maf__XP_008112130.2
greenTurtle	reptile	CMAF	greenTurtle__MAF__XP_043381875.1
groundBoa	reptile	CMAF	groundBoa__MAF__XP_063169066.1
japaneseGecko	reptile	CMAF	japaneseGecko__MAF__XP_015285014.1
python	reptile	CMAF	python__LOC103049108__XP_025027841.1
redTurtle	reptile	CMAF	redTurtle__MAF__XP_034643984.1
sandLizard	reptile	CMAF	sandLizard__MAF__XP_033013070.1
americanAlligator	reptile	MAFA	americanAlligator__MAFA__XP_006262735.1
beardedDragon	reptile	MAFA	beardedDragon__MAFA__XP_020669048.1
brownAnole	reptile	MAFA	brownAnole__MAFA__XP_060631969.2
chineseAlligator	reptile	MAFA	chineseAlligator__MAFA__XP_006039548.2
cornSnake	reptile	MAFA	cornSnake__MAFA__XP_034275836.1
garterSnake	reptile	MAFA	garterSnake__MAFA__XP_013917130.1
greenAnole	reptile	MAFA	greenAnole__mafa__XP_062835983.1
greenTurtle	reptile	MAFA	greenTurtle__MAFA__XP_043394915.1
groundBoa	reptile	MAFA	groundBoa__MAFA__XP_063156075.1
japaneseGecko	reptile	MAFA	japaneseGecko__MAFA__XP_015273594.1
redTurtle	reptile	MAFA	redTurtle__MAFA__XP_034619612.1
sandLizard	reptile	MAFA	sandLizard__MAFA__XP_033011850.1
americanAlligator	reptile	MAFB	americanAlligator__MAFB__XP_006265382.1
beardedDragon	reptile	MAFB	beardedDragon__MAFB__XP_020644911.1
brownAnole	reptile	MAFB	brownAnole__MAFB__XP_060628215.2
chineseAlligator	reptile	MAFB	chineseAlligator__MAFB__XP_006016713.1
cornSnake	reptile	MAFB	cornSnake__MAFB__XP_034269821.1
garterSnake	reptile	MAFB	garterSnake__MAFB__XP_013914637.1
greenAnole	reptile	MAFB	greenAnole__mafb__XP_008115790.2
greenTurtle	reptile	MAFB	greenTurtle__MAFB__XP_037771984.1
groundBoa	reptile	MAFB	groundBoa__MAFB__XP_063153241.1
japaneseGecko	reptile	MAFB	japaneseGecko__MAFB__XP_015260977.1
python	reptile	MAFB	python__MAFB__XP_015744577.1
redTurtle	reptile	MAFB	redTurtle__MAFB__XP_034643486.1
sandLizard	reptile	MAFB	sandLizard__MAFB__XP_033009283.1
americanAlligator	reptile	NRL	americanAlligator__NRL__XP_059586442.1
beardedDragon	reptile	NRL	beardedDragon__NRL__XP_020664985.1
brownAnole	reptile	NRL	brownAnole__NRL__XP_060635977.1
chineseAlligator	reptile	NRL	chineseAlligator__NRL__XP_014381666.2
cornSnake	reptile	NRL	cornSnake__NRL__XP_060540776.1
garterSnake	reptile	NRL	garterSnake__LOC106552296__XP_013926010.1
greenAnole	reptile	NRL	greenAnole__nrl__XP_062814062.1
greenTurtle	reptile	NRL	greenTurtle__NRL__XP_037733020.2
groundBoa	reptile	NRL	groundBoa__NRL__XP_063157679.1
japaneseGecko	reptile	NRL	japaneseGecko__NRL__XP_015269140.1
python	reptile	NRL	python__NRL__XP_007437369.1
sandLizard	reptile	NRL	sandLizard__NRL__XP_033026288.1
americanAlligator	reptile	MAFF	americanAlligator__MAFF__XP_059582394.1
beardedDragon	reptile	MAFF	beardedDragon__MAFF__XP_020643246.1
brownAnole	reptile	MAFF	brownAnole__MAFF__XP_060633020.1
chineseAlligator	reptile	MAFF	chineseAlligator__MAFF__XP_014378316.1
cornSnake	reptile	MAFF	cornSnake__MAFF__XP_034259519.1
garterSnake	reptile	MAFF	garterSnake__MAFF__XP_013910419.1
greenAnole	reptile	MAFF	greenAnole__maff__XP_003227196.2
greenTurtle	reptile	MAFF	greenTurtle__MAFF__XP_043399227.1
groundBoa	reptile	MAFF	groundBoa__MAFF__XP_063164167.1
japaneseGecko	reptile	MAFF	japaneseGecko__MAFF__XP_015274659.1
python	reptile	MAFF	python__MAFF__XP_025025777.1
redTurtle	reptile	MAFF	redTurtle__MAFF__XP_034632554.1
sandLizard	reptile	MAFF	sandLizard__MAFF__XP_033018043.1
americanAlligator	reptile	MAFG	americanAlligator__MAFG__XP_006270717.1
beardedDragon	reptile	MAFG	beardedDragon__MAFG__XP_020670010.1
brownAnole	reptile	MAFG	brownAnole__MAFG__XP_060620842.1
chineseAlligator	reptile	MAFG	chineseAlligator__MAFG__XP_006038228.1
cornSnake	reptile	MAFG	cornSnake__MAFG__XP_034268786.1
garterSnake	reptile	MAFG	garterSnake__MAFG__XP_013916963.1
greenAnole	reptile	MAFG	greenAnole__mafg__XP_008102792.1
greenTurtle	reptile	MAFG	greenTurtle__MAFG__XP_037770029.1
groundBoa	reptile	MAFG	groundBoa__MAFG__XP_063149356.1
japaneseGecko	reptile	MAFG	japaneseGecko__MAFG__XP_015275850.1
python	reptile	MAFG	python__MAFG__XP_007427839.1
redTurtle	reptile	MAFG	redTurtle__MAFG__XP_034645930.1
sandLizard	reptile	MAFG	sandLizard__MAFG__XP_032994994.1
americanAlligator	reptile	MAFK	americanAlligator__MAFK__XP_019350258.2
beardedDragon	reptile	MAFK	beardedDragon__MAFK__XP_020659950.1
brownAnole	reptile	MAFK	brownAnole__LOC132782144__XP_060642834.2
brownAnole	reptile	MAFK	brownAnole__LOC137095487__XP_067318314.1
chineseAlligator	reptile	MAFK	chineseAlligator__MAFK__XP_025068149.1
cornSnake	reptile	MAFK	cornSnake__MAFK__XP_034297459.1
garterSnake	reptile	MAFK	garterSnake__MAFK__XP_013916685.1
greenAnole	reptile	MAFK	greenAnole__mafk__XP_008116599.1
greenTurtle	reptile	MAFK	greenTurtle__MAFK__XP_007065416.2
groundBoa	reptile	MAFK	groundBoa__MAFK__XP_063170913.1
japaneseGecko	reptile	MAFK	japaneseGecko__MAFK__XP_015276628.1
python	reptile	MAFK	python__MAFK__XP_007442315.1
redTurtle	reptile	MAFK	redTurtle__MAFK__XP_034638928.1
sandLizard	reptile	MAFK	sandLizard__MAFK__XP_033022525.1
americanAlligator	reptile	OTX1	americanAlligator__OTX1__XP_019356250.2
beardedDragon	reptile	OTX1	beardedDragon__OTX1__XP_020646291.1
brownAnole	reptile	OTX1	brownAnole__OTX1__XP_067325612.1
cornSnake	reptile	OTX1	cornSnake__OTX1__XP_060545338.1
garterSnake	reptile	OTX1	garterSnake__OTX1__XP_013919834.1
greenAnole	reptile	OTX1	greenAnole__otx1__XP_062815107.1
greenTurtle	reptile	OTX1	greenTurtle__OTX1__XP_037752009.1
groundBoa	reptile	OTX1	groundBoa__OTX1__XP_063147491.1
japaneseGecko	reptile	OTX1	japaneseGecko__LOC107107343__XP_015263117.1
python	reptile	OTX1	python__LOC103067230__XP_025022551.1
redTurtle	reptile	OTX1	redTurtle__OTX1__XP_034622837.1
sandLizard	reptile	OTX1	sandLizard__OTX1__XP_033001507.1
americanAlligator	reptile	OTX2	americanAlligator__OTX2__XP_019335474.1
beardedDragon	reptile	OTX2	beardedDragon__OTX2__XP_020658164.1
brownAnole	reptile	OTX2	brownAnole__OTX2__XP_067319192.1
chineseAlligator	reptile	OTX2	chineseAlligator__OTX2__XP_014372934.1
cornSnake	reptile	OTX2	cornSnake__OTX2__XP_034289343.1
garterSnake	reptile	OTX2	garterSnake__LOC106538813__XP_013908912.1
garterSnake	reptile	OTX2	garterSnake__LOC106538819__XP_013908919.1
greenAnole	reptile	OTX2	greenAnole__otx2__XP_062824717.1
greenTurtle	reptile	OTX2	greenTurtle__OTX2__XP_043405691.1
groundBoa	reptile	OTX2	groundBoa__OTX2__XP_063150066.1
japaneseGecko	reptile	OTX2	japaneseGecko__OTX2__XP_015262914.1
python	reptile	OTX2	python__OTX2__XP_007422992.1
redTurtle	reptile	OTX2	redTurtle__OTX2__XP_034626473.1
sandLizard	reptile	OTX2	sandLizard__OTX2__XP_033024617.1
americanAlligator	reptile	CRX	americanAlligator__LOC102576692__XP_006265011.1
beardedDragon	reptile	CRX	beardedDragon__LOC110088518__XP_020666511.1
brownAnole	reptile	CRX	brownAnole__LOC132780209__XP_060639772.1
brownAnole	reptile	CRX	brownAnole__LOC137095319__XP_067317913.1
chineseAlligator	reptile	CRX	chineseAlligator__LOC102370507__XP_025049174.1
cornSnake	reptile	CRX	cornSnake__LOC117677699__XP_034293968.1
garterSnake	reptile	CRX	garterSnake__LOC106555201__XP_013929460.1
greenAnole	reptile	CRX	greenAnole__LOC100559672__XP_062818439.1
greenTurtle	reptile	CRX	greenTurtle__CRX__XP_037740430.1
groundBoa	reptile	CRX	groundBoa__LOC134503250__XP_063168066.1
japaneseGecko	reptile	CRX	japaneseGecko__LOC107121371__XP_015279773.1
python	reptile	CRX	python__CRX__XP_007427043.1
redTurtle	reptile	CRX	redTurtle__CRX__XP_034648312.1
sandLizard	reptile	CRX	sandLizard__LOC117052044__XP_033014662.1
africanFrog	fish	CMAF	africanFrog__maf.L__XP_041446090.1
africanFrog	fish	CMAF	africanFrog__maf.S__XP_041417067.1
axolotl	fish	CMAF	axolotl__MAF__XP_069508968.1
bambooShark	fish	CMAF	bambooShark__mafa__XP_072451968.1
catshark	fish	CMAF	catshark__mafa__XP_072373938.1
coelacanth	fish	CMAF	coelacanth__LOC102348657__XP_014344902.1
himalayaFrog	fish	CMAF	himalayaFrog__MAF__XP_018411242.1
lungfish	fish	CMAF	lungfish__MAF__XP_043937739.1
redStingray	fish	CMAF	redStingray__LOC140740842__XP_072926494.1
spottedGar	fish	CMAF	spottedGar__mafa__XP_006641197.2
tinyCaecilian	fish	CMAF	tinyCaecilian__MAF__XP_030060362.1
twolinedCaecilian	fish	CMAF	twolinedCaecilian__MAF__XP_029464021.1
westernFrog	fish	CMAF	westernFrog__maf__NP_001027476.1
whaleShark	fish	CMAF	whaleShark__mafa__XP_048462041.1
zebraShark	fish	CMAF	zebraShark__LOC125460078__XP_048403134.2
africanFrog	fish	MAFA	africanFrog__mafa.L__XP_018123804.1
africanFrog	fish	MAFA	africanFrog__mafa.S__XP_018079484.1
axolotl	fish	MAFA	axolotl__MAFA__XP_069477854.1
bambooShark	fish	MAFA	bambooShark__mafaa__XP_072426116.1
catshark	fish	MAFA	catshark__mafaa__XP_072324324.1
coelacanth	fish	MAFA	coelacanth__MAFAA__XP_006007664.1
himalayaFrog	fish	MAFA	himalayaFrog__MAFA__XP_018414465.1
lungfish	fish	MAFA	lungfish__MAFA__XP_043923271.1
redStingray	fish	MAFA	redStingray__mafaa__XP_072904721.1
spottedGar	fish	MAFA	spottedGar__mafaa__XP_069047236.1
tinyCaecilian	fish	MAFA	tinyCaecilian__MAFA__XP_030075691.1
twolinedCaecilian	fish	MAFA	twolinedCaecilian__MAFA__XP_029448037.1
westernFrog	fish	MAFA	westernFrog__mafa__NP_001027475.1
whaleShark	fish	MAFA	whaleShark__LOC109920499__XP_020376119.1
zebraShark	fish	MAFA	zebraShark__mafaa__XP_048385419.1
africanFrog	fish	MAFB	africanFrog__mafb.L__XP_018090693.1
africanFrog	fish	MAFB	africanFrog__mafb.S__NP_001083852.1
axolotl	fish	MAFB	axolotl__MAFB__XP_069508371.1
bambooShark	fish	MAFB	bambooShark__LOC140462900__XP_072412445.1
catshark	fish	MAFB	catshark__LOC140428545__XP_072371246.1
coelacanth	fish	MAFB	coelacanth__LOC102365976__XP_005990472.1
himalayaFrog	fish	MAFB	himalayaFrog__MAFB__XP_018411672.1
lungfish	fish	MAFB	lungfish__MAFB__XP_043946392.1
redStingray	fish	MAFB	redStingray__mafba__XP_072918127.1
spottedGar	fish	MAFB	spottedGar__mafba__XP_006639587.2
tinyCaecilian	fish	MAFB	tinyCaecilian__MAFB__XP_030068487.1
twolinedCaecilian	fish	MAFB	twolinedCaecilian__LOC115097897__XP_029469921.1
westernFrog	fish	MAFB	westernFrog__mafb__NP_001025694.1
whaleShark	fish	MAFB	whaleShark__LOC109915489__XP_048464344.1
zebraShark	fish	MAFB	zebraShark__LOC125461481__XP_048406268.1
africanFrog	fish	NRL	africanFrog__nrl.L__XP_018115091.1
africanFrog	fish	NRL	africanFrog__nrl.S__NP_001079206.1
axolotl	fish	NRL	axolotl__LOC138521230__XP_069490020.1
coelacanth	fish	NRL	coelacanth__LOC102354056__XP_005994483.1
himalayaFrog	fish	NRL	himalayaFrog__LOC108786756__XP_018411616.1
lungfish	fish	NRL	lungfish__LOC122790346__XP_043913796.1
spottedGar	fish	NRL	spottedGar__nrl__XP_069044909.1
tinyCaecilian	fish	NRL	tinyCaecilian__NRL__XP_030043638.1
twolinedCaecilian	fish	NRL	twolinedCaecilian__NRL__XP_029436441.1
westernFrog	fish	NRL	westernFrog__nrl__XP_012808720.1
africanFrog	fish	MAFF	africanFrog__maff.L__XP_018114367.1
africanFrog	fish	MAFF	africanFrog__maff.S__XP_018115181.1
axolotl	fish	MAFF	axolotl__MAFF__XP_069509081.1
bambooShark	fish	MAFF	bambooShark__LOC140488943__XP_072444262.1
catshark	fish	MAFF	catshark__LOC140403927__XP_072348285.1
coelacanth	fish	MAFF	coelacanth__LOC102353766__XP_014352934.1
himalayaFrog	fish	MAFF	himalayaFrog__MAFF__XP_018426547.1
lungfish	fish	MAFF	lungfish__MAFF__XP_043924399.1
redStingray	fish	MAFF	redStingray__LOC140719078__XP_072889555.1
spottedGar	fish	MAFF	spottedGar__maff__XP_069053156.1
tinyCaecilian	fish	MAFF	tinyCaecilian__MAFF__XP_030064149.1
twolinedCaecilian	fish	MAFF	twolinedCaecilian__MAFF__XP_029446022.1
westernFrog	fish	MAFF	westernFrog__maff__XP_002934281.1
whaleShark	fish	MAFF	whaleShark__LOC109925329__XP_048473543.1
zebraShark	fish	MAFF	zebraShark__LOC125447181__XP_048377337.1
africanFrog	fish	MAFG	africanFrog__mafg.L__XP_041432720.1
axolotl	fish	MAFG	axolotl__MAFG__XP_069511406.1
bambooShark	fish	MAFG	bambooShark__LOC140464029__XP_072414753.1
catshark	fish	MAFG	catshark__LOC140395576__XP_072339627.1
coelacanth	fish	MAFG	coelacanth__LOC102359190__XP_064423458.1
himalayaFrog	fish	MAFG	himalayaFrog__MAFG__XP_018409131.1
lungfish	fish	MAFG	lungfish__MAFG__XP_043924159.1
redStingray	fish	MAFG	redStingray__mafga__XP_072882308.1
spottedGar	fish	MAFG	spottedGar__mafgb__XP_006635210.2
tinyCaecilian	fish	MAFG	tinyCaecilian__LOC115462212__XP_030048085.1
tinyCaecilian	fish	MAFG	tinyCaecilian__MAFG__XP_030061033.1
twolinedCaecilian	fish	MAFG	twolinedCaecilian__MAFG__XP_029454938.1
westernFrog	fish	MAFG	westernFrog__mafg__XP_004916428.1
whaleShark	fish	MAFG	whaleShark__LOC125481030__XP_048466689.1
zebraShark	fish	MAFG	zebraShark__LOC125463828__XP_048411544.1
africanFrog	fish	MAFK	africanFrog__mafk.L__XP_041432184.1
africanFrog	fish	MAFK	africanFrog__mafk.S__XP_018094625.1
axolotl	fish	MAFK	axolotl__MAFK__XP_069503740.1
bambooShark	fish	MAFK	bambooShark__mafk__XP_072415341.1
catshark	fish	MAFK	catshark__mafk__XP_072337129.1
himalayaFrog	fish	MAFK	himalayaFrog__MAFK__XP_018412616.1
redStingray	fish	MAFK	redStingray__mafk__XP_072917087.1
spottedGar	fish	MAFK	spottedGar__mafk__XP_015215295.1
tinyCaecilian	fish	MAFK	tinyCaecilian__MAFK__XP_030068393.1
twolinedCaecilian	fish	MAFK	twolinedCaecilian__MAFK__XP_029432539.1
westernFrog	fish	MAFK	westernFrog__mafk__XP_031748285.1
whaleShark	fish	MAFK	whaleShark__mafk__XP_020382141.1
zebraShark	fish	MAFK	zebraShark__mafk__XP_048408027.1
africanFrog	fish	OTX1	africanFrog__otx1.L__XP_018117180.1
axolotl	fish	OTX1	axolotl__OTX1__XP_069464308.1
bambooShark	fish	OTX1	bambooShark__otx1__XP_072437691.1
catshark	fish	OTX1	catshark__otx1__XP_072363412.1
coelacanth	fish	OTX1	coelacanth__OTX1__XP_005989615.1
himalayaFrog	fish	OTX1	himalayaFrog__OTX1__XP_018411224.1
lungfish	fish	OTX1	lungfish__OTX1__XP_043911449.1
redStingray	fish	OTX1	redStingray__otx1__XP_072907299.1
spottedGar	fish	OTX1	spottedGar__otx1__XP_006638669.2
tinyCaecilian	fish	OTX1	tinyCaecilian__OTX1__XP_030050515.1
twolinedCaecilian	fish	OTX1	twolinedCaecilian__OTX1__XP_029449529.1
westernFrog	fish	OTX1	westernFrog__otx1__XP_031757465.1
whaleShark	fish	OTX1	whaleShark__otx1__XP_048457470.1
zebraShark	fish	OTX1	zebraShark__otx1__XP_048391779.1
africanFrog	fish	OTX2	africanFrog__otx2.L__XP_018084329.1
africanFrog	fish	OTX2	africanFrog__otx2.S__NP_001084160.1
axolotl	fish	OTX2	axolotl__OTX2__XP_069494173.1
bambooShark	fish	OTX2	bambooShark__otx2b__XP_072424894.1
catshark	fish	OTX2	catshark__otx2b__XP_072345682.1
coelacanth	fish	OTX2	coelacanth__OTX2B__XP_005986517.1
himalayaFrog	fish	OTX2	himalayaFrog__OTX2__XP_018418283.1
lungfish	fish	OTX2	lungfish__OTX2__XP_043930372.1
redStingray	fish	OTX2	redStingray__otx2b__XP_072896008.1
spottedGar	fish	OTX2	spottedGar__otx2b__XP_006632284.1
tinyCaecilian	fish	OTX2	tinyCaecilian__OTX2__XP_030070658.1
twolinedCaecilian	fish	OTX2	twolinedCaecilian__OTX2__XP_029453271.1
westernFrog	fish	OTX2	westernFrog__otx2__XP_012823826.1
whaleShark	fish	OTX2	whaleShark__otx2b__XP_020382934.1
zebraShark	fish	OTX2	zebraShark__otx2b__XP_048394529.1
africanFrog	fish	CRX	africanFrog__crx.L__NP_001081916.1
africanFrog	fish	CRX	africanFrog__crx.S__XP_041429996.1
axolotl	fish	CRX	axolotl__LOC138566747__XP_069500480.1
bambooShark	fish	CRX	bambooShark__LOC140454601__XP_072405569.1
catshark	fish	CRX	catshark__LOC140402323__XP_072346133.1
coelacanth	fish	CRX	coelacanth__LOC102351276__XP_005987868.1
himalayaFrog	fish	CRX	himalayaFrog__CRX__XP_018411526.1
