	OrganismShortName	OrganismID	OrganismColor	AnnotationSource	SpeciesGroup	CMAF	CRX	MAFA	MAFB	MAFF	MAFG	MAFK	NRL	OTX1	OTX2	nMAFL	nMAFS	nOTX
80	redTurtle	Trachemys_scripta	Turtles	GCF	reptile	redTurtle__MAF__XP_034643984.1	redTurtle__CRX__XP_034648312.1	redTurtle__MAFA__XP_034619612.1	redTurtle__MAFB__XP_034643486.1	redTurtle__MAFF__XP_034632554.1	redTurtle__MAFG__XP_034645930.1	redTurtle__MAFK__XP_034638928.1		redTurtle__OTX1__XP_034622837.1	redTurtle__OTX2__XP_034626473.1	3.0	3.0	3.0
81	americanAlligator	Alligator_mississippiensis	Crocodiles	GCF	reptile	americanAlligator__MAF__XP_059569876.1	americanAlligator__LOC102576692__XP_006265011.1	americanAlligator__MAFA__XP_006262735.1	americanAlligator__MAFB__XP_006265382.1	americanAlligator__MAFF__XP_059582394.1	americanAlligator__MAFG__XP_006270717.1	americanAlligator__MAFK__XP_019350258.2	americanAlligator__NRL__XP_059586442.1	americanAlligator__OTX1__XP_019356250.2	americanAlligator__OTX2__XP_019335474.1	3.0	3.0	3.0
82	chineseAlligator	Alligator_sinensis	Crocodiles	GCF	reptile	chineseAlligator__LOC102381322__XP_025066811.1	chineseAlligator__LOC102370507__XP_025049174.1	chineseAlligator__MAFA__XP_006039548.2	chineseAlligator__MAFB__XP_006016713.1	chineseAlligator__MAFF__XP_014378316.1	chineseAlligator__MAFG__XP_006038228.1	chineseAlligator__MAFK__XP_025068149.1	chineseAlligator__NRL__XP_014381666.2		chineseAlligator__OTX2__XP_014372934.1	3.0	3.0	2.0
83	emu	Dromaius_novaehollandiae	Birds	GCF	bird	emu__MAF__XP_064375807.1	emu__LOC135325254__XP_064359194.1	emu__MAFA__XP_025969455.2	emu__MAFB__XP_025948812.1	emu__MAFF__XP_025957942.2	emu__MAFG__XP_064379007.1	emu__MAFK__XP_064376262.1		emu__OTX1__XP_064366196.1	emu__OTX2__XP_064369577.1	3.0	3.0	3.0
84	ostrich	Struthio_camelus	Birds	GCF	bird	ostrich__MAF__XP_068812426.1	ostrich__CRX__XP_068766418.1	ostrich__MAFA__XP_068789949.1	ostrich__MAFB__XP_009669433.1	ostrich__MAFF__XP_068798295.1	ostrich__MAFG__XP_009667074.2	ostrich__MAFK__XP_068764117.1		ostrich__OTX1__XP_068792634.1	ostrich__OTX2__XP_009668952.1	3.0	3.0	3.0
85	mallardDuck	Anas_platyrhynchos	Birds	GCF	bird	mallardDuck__MAF__XP_038041342.1	mallardDuck__LOC140000269__XP_071886214.1	mallardDuck__MAFA__XP_027308589.1	mallardDuck__MAFB__XP_005012103.1	mallardDuck__MAFF__XP_027306343.1	mallardDuck__MAFG__XP_005011602.1	mallardDuck__MAFK__XP_071880198.1		mallardDuck__OTX1__XP_038032674.1	mallardDuck__OTX2__XP_027315034.1	3.0	3.0	3.0
86	muscovyDuck	Cairina_moschata	Birds	GCF Near														
87	quail	Coturnix_japonica	Birds	GCF	bird	quail__MAF__XP_015729607.1		quail__MAFA__XP_015711959.1	quail__MAFB__XP_015736936.1	quail__MAFF__XP_015718579.1	quail__MAFG__XP_015735390.1	quail__MAFK__XP_015732262.1		quail__OTX1__XP_015712084.1	quail__OTX2__XP_015721371.1	3.0	3.0	2.0
88	chicken	Gallus_gallus	Birds	GCF	bird	chicken__MAF__XP_015148000.1		chicken__MAFA__NP_990356.1	chicken__MAFB__NP_001026023.1	chicken__MAFF__XP_046760163.1	chicken__MAFG__XP_015150912.1	chicken__MAFK__XP_040503249.1		chicken__OTX1__XP_015133598.2	chicken__OTX2__NP_989851.2	3.0	3.0	2.0
89	redStreamertail	Trochilus_polytmus	Birds	NoGenome														
90	blackStreamertail	Trochilus_scitulus	Birds	NoGenome														
91	hybridStreamertail	Trochilus_hybrid	Birds	NoGenome														
92	pigeon	Columba_livia	Birds	GCF	bird	pigeon__MAF__XP_064884597.1	pigeon__LOC102094696__XP_064900299.1	pigeon__MAFA__XP_064910682.1	pigeon__MAFB__XP_005502756.1	pigeon__MAFF__XP_064903426.1	pigeon__MAFG__XP_064890380.1	pigeon__MAFK__XP_064887576.1		pigeon__OTX1__XP_064915312.1	pigeon__OTX2__XP_064919169.1	3.0	3.0	3.0
93	kite	Elanus_caeruleus	Birds	GCF Near														
94	goldenEagle	Aquila_chrysaetos	Birds	GCF	bird	goldenEagle__MAF__XP_029880100.1		goldenEagle__MAFA__XP_029868500.1	goldenEagle__MAFB__XP_029866112.1	goldenEagle__MAFF__XP_029896324.1	goldenEagle__MAFG__XP_040979213.1	goldenEagle__MAFK__XP_029857514.1		goldenEagle__OTX1__XP_029879450.1	goldenEagle__OTX2__XP_029893759.1	3.0	3.0	2.0
95	vulture	Aegypius_monachus	Birds	GCF Near														
96	harpyEagle	Harpia_harpyja	Birds	GCF	bird	harpyEagle__MAF__XP_052651390.1	harpyEagle__LOC128138109__XP_052635385.1	harpyEagle__MAFA__XP_052644556.1	harpyEagle__MAFB__XP_052645446.1	harpyEagle__MAFF__XP_052646533.1	harpyEagle__MAFG__XP_052662950.1	harpyEagle__MAFK__XP_052628487.1		harpyEagle__OTX1__XP_052641625.1	harpyEagle__OTX2__XP_052639501.1	3.0	3.0	3.0
97	harrier	Circus_melanoleucos	Birds	GCF Near														
98	greyfacedBuzzard	Butastur_indicus	Birds	GCF Near														
99	commonBuzzard	Buteo_buteo	Birds	GCF	bird	commonBuzzard__MAF__XP_074896084.1	commonBuzzard__LOC142026825__XP_074876327.1	commonBuzzard__MAFA__XP_074880177.1	commonBuzzard__MAFB__XP_074915426.1	commonBuzzard__MAFF__XP_074907107.1	commonBuzzard__MAFG__XP_074900176.1	commonBuzzard__MAFK__XP_074914901.1		commonBuzzard__OTX1__XP_074892886.1	commonBuzzard__OTX2__XP_074887128.1	3.0	3.0	3.0
100	redTailHawk	Buteo_jamaicensis	Birds	GCF Near														
101	gosHwak	Astur_gentilis	Birds	GCF	bird	gosHwak__MAF__XP_049662322.1	gosHwak__LOC126037476__XP_049653753.1	gosHwak__MAFA__XP_049682097.1	gosHwak__MAFB__XP_049672993.1	gosHwak__MAFF__XP_049677759.1	gosHwak__MAFG__XP_049668419.1	gosHwak__MAFK__XP_049647588.1		gosHwak__OTX1__XP_049655724.1	gosHwak__OTX2__XP_049684633.1	3.0	3.0	3.0
102	coopersHawk	Accipiter_cooperii	Birds	Ensembl Near														
103	besra	Accipiter_virgatus	Birds	Ensembl Near														
104	sparrowHawk	Accipiter_nisus	Birds	Ensembl	bird	sparrowHawk__gene_ENSANIG00000002392__ENSANIP00000003522	sparrowHawk__gene_ENSANIG00000015598__ENSANIP00000022914,sparrowHawk__gene_ENSANIG00000016085__ENSANIP00000023696,sparrowHawk__gene_ENSANIG00000017996__ENSANIP00000026851	sparrowHawk__gene_ENSANIG00000009040__ENSANIP00000013306	sparrowHawk__gene_ENSANIG00000007633__ENSANIP00000011272		sparrowHawk__gene_ENSANIG00000017332__ENSANIP00000025770	sparrowHawk__gene_ENSANIG00000015949__ENSANIP00000023462		sparrowHawk__gene_ENSANIG00000004090__ENSANIP00000005991		3.0	2.0	2.0
105	barnOwl	Tyto_alba	Birds	GCF	bird	barnOwl__MAF__XP_032846531.2		barnOwl__MAFA__XP_042642191.1	barnOwl__MAFB__XP_032859530.2	barnOwl__MAFF__XP_042648826.1	barnOwl__MAFG__XP_032857737.1	barnOwl__MAFK__XP_032848226.1		barnOwl__OTX1__XP_042651876.1	barnOwl__OTX2__XP_042655204.1	3.0	3.0	2.0
106	grassOwl	Tyto_longimembris	Birds	GCF Near														
107	borealOwl	Aegolius_funereus	Birds	GCF Near														
108	littleOwl	Athene_noctua	Birds	GCF	bird	littleOwl__MAF__XP_074769062.1	littleOwl__CRX__XP_074786787.1	littleOwl__MAFA__XP_074754432.1	littleOwl__MAFB__XP_074776558.1	littleOwl__MAFF__XP_074758587.1	littleOwl__MAFG__XP_074778000.1	littleOwl__MAFK__XP_074774914.1		littleOwl__OTX1__XP_074783297.1	littleOwl__OTX2__XP_074765007.1	3.0	3.0	3.0
109	eurasianScopsOwl	Otus_scops	Birds	GCA														
110	indianScopsOwl	Otus_bakkamoena	Birds	NoGenome														
111	shortearOwl	Asio_flammeus	Birds	NoGenome														
112	longearOwl	Asio_otus	Birds	NoGenome														
113	screechOwl	Megascops_asio	Birds	GCA														
114	barredOwl	Strix_varia	Birds	GCF Near														
115	uralOwl	Strix_uralensis	Birds	GCF	bird	uralOwl__MAF__XP_074738276.1	uralOwl__LOC141938950__XP_074714081.1	uralOwl__MAFA__XP_074745166.1	uralOwl__MAFB__XP_074744481.1	uralOwl__MAFF__XP_074727268.1	uralOwl__MAFG__XP_074745849.1	uralOwl__MAFK__XP_074742748.1		uralOwl__OTX1__XP_074721005.1	uralOwl__OTX2__XP_074725217.1	3.0	3.0	3.0
116	tawnyOwl	Strix_aluco	Birds	GCF	bird	tawnyOwl__MAF__XP_074695275.1		tawnyOwl__MAFA__XP_074685104.1	tawnyOwl__MAFB__XP_074699417.1	tawnyOwl__MAFF__XP_074682748.1	tawnyOwl__MAFG__XP_074703746.1	tawnyOwl__MAFK__XP_074697581.1		tawnyOwl__OTX1__XP_074676687.1	tawnyOwl__OTX2__XP_074677150.1	3.0	3.0	2.0
117	eagleOwl	Bubo_bubo	Birds	Ensembl	bird	eagleOwl__gene_ENSBOBG00000000091__ENSBOBP00000000082	eagleOwl__gene_ENSBOBG00000007943__ENSBOBP00000012515	eagleOwl__gene_ENSBOBG00000014832__ENSBOBP00000025026	eagleOwl__gene_ENSBOBG00000006688__ENSBOBP00000010424	eagleOwl__gene_ENSBOBG00000006606__ENSBOBP00000010285	eagleOwl__gene_ENSBOBG00000014112__ENSBOBP00000023575	eagleOwl__gene_ENSBOBG00000007138__ENSBOBP00000011205			eagleOwl__gene_ENSBOBG00000012921__ENSBOBP00000021265	3.0	3.0	2.0
118	hornedOwl	Bubo_virginianus	Birds	GCA														
119	mousebird	Colius_striatus	Birds	GCF	bird	mousebird__MAF__XP_061863169.1	mousebird__OTX2__XP_061854290.1	mousebird__MAFA__XP_010203193.2	mousebird__MAFB__XP_061864958.1	mousebird__MAFF__XP_061868468.1	mousebird__MAFG__XP_061867004.1	mousebird__MAFK__XP_061848223.1		mousebird__OTX1__XP_061846423.1		3.0	3.0	2.0
120	hoopoe	Upupa_epops	Birds	GCF Near														
121	honeyguide	Indicator_indicator	Birds	GCF	bird	honeyguide__MAF__XP_054245698.1		honeyguide__MAFA__XP_054241450.1	honeyguide__MAFB__XP_054247952.1	honeyguide__MAFF__XP_054242609.1	honeyguide__MAFG__XP_054249713.1	honeyguide__MAFK__XP_054247354.1		honeyguide__OTX1__XP_054239553.1	honeyguide__OTX2__XP_054256273.1	3.0	3.0	2.0
122	woodpecker	Picus_canus	Birds	GCF Near														
123	budgerigar	Melopsittacus_undulatus	Birds	GCF	bird	budgerigar__MAF__XP_033928568.1	budgerigar__OTX2__XP_033918106.1	budgerigar__MAFA__XP_033921063.1	budgerigar__MAFB__XP_030903509.1	budgerigar__MAFF__XP_033918644.1	budgerigar__MAFG__XP_033923786.1	budgerigar__MAFK__XP_030901453.1		budgerigar__OTX1__XP_033916893.1		3.0	3.0	2.0
124	commonKestrel	Falco_tinnunculus	Birds	Ensembl	bird	commonKestrel__gene_ENSFTIG00000003636__ENSFTIP00000005211		commonKestrel__gene_ENSFTIG00000002193__ENSFTIP00000003181	commonKestrel__gene_ENSFTIG00000008212__ENSFTIP00000012252	commonKestrel__gene_ENSFTIG00000014670__ENSFTIP00000022774	commonKestrel__gene_ENSFTIG00000000206__ENSFTIP00000000282	commonKestrel__gene_ENSFTIG00000004082__ENSFTIP00000005895		commonKestrel__gene_ENSFTIG00000009220__ENSFTIP00000013841		3.0	3.0	1.0
125	peregrineFalcon	Falco_peregrinus	Birds	GCF	bird	peregrineFalcon__MAF__XP_055674912.1		peregrineFalcon__MAFA__XP_005235862.2	peregrineFalcon__MAFB__XP_005235943.1	peregrineFalcon__MAFF__XP_055665148.1	peregrineFalcon__MAFG__XP_055653462.1	peregrineFalcon__MAFK__XP_055660914.1		peregrineFalcon__OTX1__XP_027635620.2	peregrineFalcon__OTX2__XP_055649825.1	3.0	3.0	2.0
126	eurasianHobby	Falco_subbuteo	Birds	GCF Near														
127	hawaiianCrow	Corvus_hawaiiensis	Birds	GCF	bird	hawaiianCrow__MAF__XP_048173038.1	hawaiianCrow__LOC125334224__XP_048176825.1	hawaiianCrow__MAFA__XP_048143014.1	hawaiianCrow__MAFB__XP_048178000.1	hawaiianCrow__MAFF__XP_048158218.1		hawaiianCrow__MAFK__XP_048176356.1		hawaiianCrow__OTX1__XP_048155630.1	hawaiianCrow__OTX2__XP_048164168.1	3.0	2.0	3.0
128	carrionCrow	Corvus_corone	Birds	GCF Near														
129	hoodedCrow	Corvus_cornix	Birds	GCF	bird	hoodedCrow__MAF__XP_039414468.1	hoodedCrow__CRX__XP_039428352.1	hoodedCrow__MAFA__XP_039406043.1	hoodedCrow__MAFB__XP_010395328.1	hoodedCrow__MAFF__XP_039427476.1	hoodedCrow__MAFG__XP_039418133.1	hoodedCrow__MAFK__XP_010390714.1		hoodedCrow__OTX1__XP_039425961.1	hoodedCrow__OTX2__XP_039408898.1	3.0	3.0	3.0
130	whiteWagtail	Motacilla_alba	Birds	GCF	bird	whiteWagtail__MAF__XP_038004334.1		whiteWagtail__MAFA__XP_037985746.1	whiteWagtail__MAFB__XP_038015228.1	whiteWagtail__MAFF__XP_038009455.1	whiteWagtail__MAFG__XP_038012979.1	whiteWagtail__MAFK__XP_038006777.1		whiteWagtail__OTX1__XP_037990010.1	whiteWagtail__OTX2__XP_037994591.1	3.0	3.0	2.0
131	canary	Serinus_canaria	Birds	GCF	bird	canary__MAF__XP_050834999.1		canary__MAFA__XP_030085722.1	canary__MAFB__XP_009091206.1	canary__MAFF__XP_009084748.1	canary__MAFG__XP_030087135.1	canary__MAFK__XP_018771431.1		canary__OTX1__XP_050828896.1	canary__OTX2__XP_009099887.1	3.0	3.0	2.0
132	zebrafinch	Taeniopygia_guttata	Birds	GCF	bird	zebrafinch__MAF__XP_030138184.2	zebrafinch__CRX__XP_072777012.1	zebrafinch__MAFA__XP_030122661.1	zebrafinch__MAFB__XP_072773087.1	zebrafinch__MAFF__XP_030118873.1	zebrafinch__MAFG__XP_030143375.1	zebrafinch__MAFK__XP_072792010.1		zebrafinch__OTX1__XP_030125146.3	zebrafinch__OTX2__XP_030131074.1	3.0	3.0	3.0
133	platypus	Ornithorhynchus_anatinus	Mammals	GCF	mammal	platypus__MAF__XP_028908667.1		platypus__MAFA__XP_007656620.2	platypus__MAFB__XP_028926613.1	platypus__MAFF__XP_028935268.1	platypus__MAFG__XP_028912595.1	platypus__MAFK__XP_001514510.2	platypus__NRL__XP_028934270.1	platypus__OTX1__XP_028927478.1	platypus__CRX__XP_028922525.1,platypus__OTX2__XP_039769946.1	3.0	3.0	2.0
134	opossum	Monodelphis_domestica	Mammals	GCF	mammal	opossum__MAF__XP_016284180.1		opossum__MAFA__XP_056678923.1	opossum__MAFB__XP_007474403.2	opossum__MAFF__XP_056654910.1	opossum__MAFG__XP_007482908.1	opossum__MAFK__XP_007498385.1	opossum__NRL__XP_056666074.1	opossum__OTX1__XP_001374919.2	opossum__OTX2__XP_056666776.1	3.0	3.0	2.0
135	europeanHedgehog	Erinaceus_europaeus	Mammals	GCF	mammal	europeanHedgehog__MAF__XP_060041113.1	europeanHedgehog__CRX__XP_007538635.1	europeanHedgehog__MAFA__XP_007516052.1	europeanHedgehog__MAFB__XP_007521706.2	europeanHedgehog__MAFF__XP_060044945.1	europeanHedgehog__MAFG__XP_060027730.1	europeanHedgehog__MAFK__XP_007525129.1	europeanHedgehog__NRL__XP_016049314.2	europeanHedgehog__OTX1__XP_060043185.1	europeanHedgehog__OTX2__XP_007535826.1	3.0	3.0	3.0
136	africanHedgehog	Atelerix_algirus	Mammals	GCF Near														
137	sacwingedBat	Saccopteryx_bilineata	Mammals	GCF	mammal	sacwingedBat__MAF__XP_066098959.1	sacwingedBat__CRX__XP_066127770.1	sacwingedBat__MAFA__XP_066121610.1	sacwingedBat__MAFB__XP_066091476.1	sacwingedBat__MAFF__XP_066114419.1	sacwingedBat__MAFG__XP_066093539.1	sacwingedBat__MAFK__XP_066129634.1	sacwingedBat__NRL__XP_066133605.1	sacwingedBat__OTX1__XP_066123323.1	sacwingedBat__OTX2__XP_066132606.1	3.0	3.0	3.0
138	tombBat	Taphozous_melanopogon	Mammals	GCF Near														
139	daubentonBat	Myotis_daubentonii	Mammals	GCF	mammal	daubentonBat__MAF__XP_059523362.1	daubentonBat__LOC132216657__XP_059521972.1	daubentonBat__MAFA__XP_059528455.1	daubentonBat__MAFB__XP_059563059.1	daubentonBat__MAFF__XP_059537548.1	daubentonBat__MAFG__XP_059527539.1	daubentonBat__MAFK__XP_059555425.1	daubentonBat__NRL__XP_059564454.1	daubentonBat__OTX1__XP_059515653.1	daubentonBat__OTX2__XP_059551101.1	3.0	3.0	3.0
140	myotisBat	Myotis_laniger	Mammals	GCF Near														
141	roundleafBat	Hipposideros_armiger	Mammals	GCF	mammal	roundleafBat__MAF__XP_019490287.1	roundleafBat__CRX__XP_019490603.1	roundleafBat__MAFA__XP_019513343.1	roundleafBat__MAFB__XP_019492655.1	roundleafBat__MAFF__XP_019520114.1	roundleafBat__MAFG__XP_019517383.1	roundleafBat__MAFK__XP_019493117.1	roundleafBat__NRL__XP_019518658.1	roundleafBat__OTX1__XP_019491596.1	roundleafBat__OTX2__XP_019500461.1	3.0	3.0	3.0
142	fruitBat	Cynopterus_sphinx	Mammals	GCF Near														
143	egyptianBat	Rousettus_aegyptiacus	Mammals	GCF	mammal	egyptianBat__MAF__XP_016007494.2	egyptianBat__CRX__XP_016010792.1	egyptianBat__MAFA__XP_015994715.2	egyptianBat__MAFB__XP_015993032.1	egyptianBat__MAFF__XP_036093375.1	egyptianBat__MAFG__XP_016019320.1	egyptianBat__MAFK__XP_015974595.1	egyptianBat__NRL__XP_015976087.1	egyptianBat__OTX1__XP_016018485.1	egyptianBat__OTX2__XP_016011594.1	3.0	3.0	3.0
144	nectarBat	Eonycteris_spelaea	Mammals	GCF Near														
145	horse	Equus_caballus	Mammals	GCF	mammal	horse__MAF__XP_014593763.2	horse__CRX__XP_023507330.1	horse__MAFA__XP_023504885.1	horse__MAFB__XP_023482332.1	horse__MAFF__XP_023487201.1	horse__MAFG__XP_005597102.2	horse__MAFK__XP_023510876.1	horse__NRL__XP_001491313.1	horse__OTX1__XP_023474792.1	horse__OTX2__XP_014591350.1	3.0	3.0	3.0
146	pig	Sus_scrofa	Mammals	GCF	mammal	pig__MAF__XP_020952724.1	pig__CRX__XP_003127313.2	pig__MAFA__XP_020946195.1	pig__MAFB__XP_013840831.2	pig__MAFF__XP_013843663.1	pig__MAFG__XP_020922083.1	pig__MAFK__XP_003124297.1	pig__NRL__XP_001925889.3	pig__OTX1__XP_003125144.1	pig__OTX2__XP_005660049.1	3.0	3.0	3.0
147	minkeWhale	Balaenoptera_acutorostrata	Mammals	GCF	mammal	minkeWhale__MAF__XP_057389759.1	minkeWhale__LOC103005484__XP_007168269.1	minkeWhale__MAFA__XP_057388115.1	minkeWhale__MAFB__XP_057386227.1	minkeWhale__MAFF__XP_057413363.1	minkeWhale__MAFG__XP_028023182.1	minkeWhale__MAFK__XP_057385102.1	minkeWhale__NRL__XP_007180659.1	minkeWhale__OTX1__XP_007189783.2	minkeWhale__LOC103019289__XP_057384495.1,minkeWhale__OTX2__XP_007192978.1	3.0	3.0	3.0
148	bowheadWhale	Balaena_mysticetus	Mammals	GCF Near														
149	cow	Bos_taurus	Mammals	GCF	mammal	cow__MAF__XP_059733001.1	cow__CRX__NP_776329.1	cow__MAFA__XP_059730327.1	cow__MAFB__XP_002692508.1	cow__MAFF__XP_024847998.1	cow__MAFG__XP_059734011.1	cow__MAFK__XP_005225295.1	cow__NRL__XP_010807337.1	cow__OTX1__XP_005212853.1	cow__OTX2__XP_059746555.1	3.0	3.0	3.0
150	sheep	Ovis_aries	Mammals	GCF	mammal	sheep__MAF__XP_027833450.2	sheep__CRX__XP_012045975.3	sheep__MAFA__XP_027829230.1	sheep__MAFB__XP_012044596.3	sheep__MAFF__XP_042103658.1	sheep__MAFG__XP_042112177.1	sheep__MAFK__XP_027817076.1	sheep__NRL__XP_042108879.1	sheep__OTX1__XP_042101940.1	sheep__LOC101106129__XP_004020461.2,sheep__LOC114118382__XP_027834964.1,sheep__OTX2__XP_042108500.1	3.0	3.0	3.0
151	cat	Felis_catus	Mammals	GCF	mammal	cat__MAF__XP_023101135.2	cat__CRX__XP_044901347.1	cat__MAFA__XP_023104341.2	cat__MAFB__XP_023107022.1	cat__MAFF__XP_023113493.1	cat__MAFG__XP_019673944.2	cat__MAFK__XP_044903301.1	cat__NRL__XP_023111367.1	cat__OTX1__XP_044910197.1	cat__OTX2__XP_003987729.1	3.0	3.0	3.0
152	dog	Canis_familiaris	Mammals	GCF	mammal	dog__MAF__XP_038394157.1	dog__CRX__NP_001003049.1	dog__MAFA__XP_038411032.1	dog__MAFB__XP_038427303.1	dog__MAFF__XP_038407500.1	dog__MAFG__XP_038402227.1	dog__MAFK__XP_038395595.1	dog__NRL__XP_038399950.1	dog__OTX1__XP_038407327.1	dog__OTX2__XP_038399965.1	3.0	3.0	3.0
153	ferret	Mustela_furo	Mammals	GCF	mammal	ferret__MAF__XP_004754127.3	ferret__CRX__XP_004767515.1	ferret__MAFA__XP_044930139.1	ferret__MAFB__XP_012908766.2	ferret__MAFF__XP_004743278.1	ferret__MAFG__XP_004748742.1	ferret__MAFK__XP_044931115.1	ferret__NRL__XP_004755334.1	ferret__OTX1__XP_004742108.1	ferret__OTX2__XP_012911979.1	3.0	3.0	3.0
154	treeShrew	Tupaia_belangeri	Mammals	Custom	mammal	treeShrew__MAF__TSDBTID.15625.1	treeShrew__CRX__TSDBTID.18795.1	treeShrew__MAFA__TSDBTID.8045.1	treeShrew__MAFB__TSDBTID.5231.1	treeShrew__MAFF__TSDBTID.24461.1		treeShrew__MAFK__TSDBTID.12800.2	treeShrew__NRL__TSDBTID.22451.1	treeShrew__OTX1__TSDBTID.7135.1	treeShrew__OTX2__TSDBTID.21986.1	3.0	2.0	3.0
155	guineapig	Cavia_porcellus	Mammals	GCF	mammal	guineapig__Maf__XP_013000126.2	guineapig__Crx__XP_063109068.1	guineapig__Mafa__XP_005008726.2	guineapig__Mafb__XP_005002829.1	guineapig__Maff__XP_063099865.1	guineapig__Mafg__XP_005001512.1	guineapig__Mafk__XP_063090094.1	guineapig__Nrl__NP_001166521.1	guineapig__Otx1__XP_003467541.3	guineapig__Otx2__XP_063097393.1	3.0	3.0	3.0
156	groundSquirrel	Ictidomys_tridecemlineatus	Mammals	GCF	mammal		groundSquirrel__LOC101960714__XP_021589808.1	groundSquirrel__Mafa__XP_005316155.1	groundSquirrel__Mafb__XP_005329891.1	groundSquirrel__Maff__XP_005322482.1	groundSquirrel__Mafg__XP_021586965.2	groundSquirrel__Mafk__XP_005339892.1	groundSquirrel__Nrl__XP_040131621.1	groundSquirrel__Otx1__XP_005322113.1	groundSquirrel__Otx2__XP_040130602.1	2.0	3.0	3.0
157	chipmunk	Tamias_sibiricus	Mammals	GCA														
158	blindMoleRat	Nannospalax_galili	Mammals	GCF	mammal	blindMoleRat__Maf__XP_008833613.2	blindMoleRat__Crx__XP_008825396.1	blindMoleRat__Mafa__XP_008832750.1	blindMoleRat__Mafb__XP_008847806.1	blindMoleRat__Maff__XP_008849486.1	blindMoleRat__Mafg__XP_029416972.1	blindMoleRat__Mafk__XP_017658288.1	blindMoleRat__Nrl__XP_008838065.1	blindMoleRat__Otx1__XP_008848847.1	blindMoleRat__Otx2__XP_029422537.1	3.0	3.0	3.0
159	zokor	Myospalax_baileyi	Mammals	GCF Near														
160	hamster	Mesocricetus_auratus	Mammals	GCF	mammal	hamster__Maf__XP_040592400.1	hamster__Crx__XP_040590377.1	hamster__Mafa__XP_005086026.1	hamster__Mafb__XP_005082705.2	hamster__Maff__XP_040610079.1	hamster__Mafg__XP_012968772.1	hamster__Mafk__XP_005080042.1	hamster__Nrl__XP_005085649.1	hamster__Otx1__XP_040589169.1	hamster__Otx2__XP_040591726.1	3.0	3.0	3.0
161	deerMouse	Peromyscus_maniculatus	Mammals	GCF	mammal	deerMouse__Maf__XP_076428302.1	deerMouse__Crx__XP_006996974.1	deerMouse__Mafa__XP_076412222.1	deerMouse__Mafb__XP_015854992.2	deerMouse__Maff__XP_006979206.1	deerMouse__Mafg__XP_042139187.1	deerMouse__Mafk__XP_015864857.1	deerMouse__Nrl__XP_006988587.1	deerMouse__Otx1__XP_076402182.1	deerMouse__Otx2__XP_042140690.1	3.0	3.0	3.0
162	gerbil	Meriones_unguiculatus	Mammals	GCF	mammal	gerbil__Maf__XP_060247904.1	gerbil__LOC110555202__XP_021503974.1	gerbil__Mafa__XP_021515761.1	gerbil__Mafb__XP_021500039.1	gerbil__Maff__XP_021517277.2	gerbil__Mafg__XP_021493069.1	gerbil__Mafk__XP_021496398.1	gerbil__Nrl__XP_060247157.1	gerbil__Otx1__XP_021515851.1	gerbil__Otx2__XP_021508022.1	3.0	3.0	3.0
163	sandRat	Psammomys_obesus	Mammals	GCF	mammal	sandRat__Maf__XP_055477398.1	sandRat__Crx__XP_055471636.1	sandRat__Mafa__XP_055482483.1	sandRat__Mafb__XP_055458414.1	sandRat__Maff__XP_055458888.1	sandRat__Mafg__XP_055448662.1	sandRat__Mafk__XP_055454539.1	sandRat__Nrl__XP_055473835.1	sandRat__Otx1__XP_055468085.1	sandRat__Otx2__XP_055462205.1	3.0	3.0	3.0
164	grassMouse	Rhabdomys_pumilio	Mammals	Custom	mammal	grassMouse__Maf__Maf-T1		grassMouse__Mafa__Mafa-T1	grassMouse__Mafb__Mafb-T1	grassMouse__Maff__Maff-T1	grassMouse__Mafg__Mafg-T1	grassMouse__Mafk__Mafk-T1	grassMouse__Nrl__Nrl-T1	grassMouse__OTX1__Otx1-T1	grassMouse__OTX2__Otx2-T1	3.0	3.0	2.0
165	brownRat	Rattus_norvegicus	Mammals	GCF	mammal	brownRat__Maf__NP_062191.2	brownRat__Crx__NP_068627.2	brownRat__Mafa__NP_001386702.1	brownRat__Mafb__NP_062189.1	brownRat__Maff__NP_001124045.1	brownRat__Mafg__NP_071781.1	brownRat__Mafk__NP_663706.2	brownRat__Nrl__NP_001099506.1	brownRat__Otx1__NP_037241.2	brownRat__Otx2__NP_001094036.1	3.0	3.0	3.0
166	labMouse	Mus_musculus	Mammals	GCF	mammal	labMouse__Maf__NP_001020748.2	labMouse__Crx__NP_031796.1	labMouse__Mafa__NP_919331.1	labMouse__Mafb__NP_034788.1	labMouse__Maff__NP_034885.1	labMouse__Mafg__NP_034886.1	labMouse__Mafk__NP_034887.1	labMouse__Nrl__NP_032762.1	labMouse__Otx1__NP_035153.1	labMouse__Otx2__NP_001273411.1	3.0	3.0	3.0
167	marmoset	Callithrix_jacchus	Mammals	GCF	mammal	marmoset__MAF__XP_002761235.1	marmoset__CRX__XP_054105526.1	marmoset__MAFA__XP_008981332.2	marmoset__MAFB__XP_002747609.1	marmoset__MAFF__XP_035128467.1	marmoset__MAFG__XP_035158027.1	marmoset__MAFK__XP_035145692.2	marmoset__NRL__XP_035116064.1	marmoset__OTX1__XP_008978870.1	marmoset__OTX2__XP_035116504.1	3.0	3.0	3.0
