ProteinID	GeneGroup	ProteinLen
ostrichDenovo__Unknown__TRINITY_DN9016_c0_g2_i1.p1	CMAF	199.0
ostrichDenovo__Unknown__TRINITY_DN1258_c0_g3_i1.p1	CRX	290.0
ostrichDenovo__Unknown__TRINITY_DN3741_c1_g2_i4.p2	MAFA	249.0
ostrichDenovo__Unknown__TRINITY_DN3741_c1_g3_i2.p1	MAFB	312.0
ostrichDenovo__Unknown__TRINITY_DN3272_c0_g1_i1.p2	MAFF	202.0
ostrichDenovo__Unknown__TRINITY_DN4561_c0_g1_i3.p2	MAFG	163.0
ostrichDenovo__Unknown__TRINITY_DN2430_c0_g1_i9.p2	MAFK	189.0
ostrichDenovo__Unknown__TRINITY_DN1258_c0_g2_i14.p1	OTX1	343.0
ostrichDenovo__Unknown__TRINITY_DN1258_c0_g3_i1.p1	OTX2	290.0
muscovyDuckDenovo__Unknown__TRINITY_DN2103_c0_g1_i8.p1	CMAF	328.0
muscovyDuckDenovo__Unknown__TRINITY_DN317_c0_g1_i6.p3	CRX	291.0
muscovyDuckDenovo__Unknown__TRINITY_DN5357_c1_g2_i1.p2	MAFA	338.0
muscovyDuckDenovo__Unknown__TRINITY_DN5357_c1_g1_i3.p2	MAFB	312.0
muscovyDuckDenovo__Unknown__TRINITY_DN1182_c4_g1_i1.p2	MAFF	150.0
muscovyDuckDenovo__Unknown__TRINITY_DN902_c1_g2_i2.p1	MAFG	163.0
muscovyDuckDenovo__Unknown__TRINITY_DN4141_c0_g1_i3.p1	MAFK	186.0
muscovyDuckDenovo__Unknown__TRINITY_DN317_c0_g3_i1.p1	OTX1	334.0
muscovyDuckDenovo__Unknown__TRINITY_DN317_c0_g1_i6.p3	OTX2	291.0
quailDenovo__Unknown__TRINITY_DN43442_c0_g2_i1.p1	CMAF	294.0
quailDenovo__Unknown__TRINITY_DN877_c1_g1_i9.p1	CRX	328.0
quailDenovo__Unknown__TRINITY_DN823_c1_g1_i1.p1	MAFA	287.0
quailDenovo__Unknown__TRINITY_DN823_c1_g3_i1.p2	MAFB	153.0
quailDenovo__Unknown__TRINITY_DN6091_c0_g1_i2.p2	MAFF	220.0
quailDenovo__Unknown__TRINITY_DN9611_c0_g1_i3.p1	MAFG	163.0
quailDenovo__Unknown__TRINITY_DN27831_c0_g1_i3.p1	MAFK	194.0
quailDenovo__Unknown__TRINITY_DN741_c1_g1_i5.p1	OTX1	316.0
quailDenovo__Unknown__TRINITY_DN4560_c1_g2_i1.p1	OTX2	214.0
chickenDenovo__Unknown__TRINITY_DN54315_c0_g1_i1.p1	CMAF	125.0
chickenDenovo__Unknown__TRINITY_DN21257_c0_g1_i1.p3	CRX	151.0
chickenDenovo__Unknown__TRINITY_DN12272_c1_g1_i1.p1	MAFA	183.0
chickenDenovo__Unknown__TRINITY_DN183466_c0_g1_i1.p2	MAFB	119.0
chickenDenovo__Unknown__TRINITY_DN18633_c0_g1_i1.p1	MAFF	285.0
chickenDenovo__Unknown__TRINITY_DN82238_c0_g1_i1.p1	MAFG	163.0
chickenDenovo__Unknown__TRINITY_DN55578_c0_g1_i1.p1	MAFK	182.0
chickenDenovo__Unknown__TRINITY_DN5230_c0_g1_i1.p1	OTX2	290.0
redStreamertailDenovo__Unknown__TRINITY_DN4914_c0_g1_i1.p1	CMAF	195.0
redStreamertailDenovo__Unknown__TRINITY_DN2868_c0_g1_i5.p1	CRX	290.0
redStreamertailDenovo__Unknown__TRINITY_DN13301_c0_g3_i2.p1	MAFA	290.0
redStreamertailDenovo__Unknown__TRINITY_DN13301_c0_g2_i1.p2	MAFB	311.0
redStreamertailDenovo__Unknown__TRINITY_DN9147_c0_g1_i1.p1	MAFF	269.0
redStreamertailDenovo__Unknown__TRINITY_DN12454_c0_g1_i1.p1	MAFG	224.0
redStreamertailDenovo__Unknown__TRINITY_DN48415_c0_g1_i2.p1	MAFK	184.0
redStreamertailDenovo__Unknown__TRINITY_DN68747_c0_g2_i5.p1	OTX1	334.0
redStreamertailDenovo__Unknown__TRINITY_DN2868_c0_g1_i5.p1	OTX2	290.0
blackStreamertailDenovo__Unknown__TRINITY_DN35522_c0_g1_i1.p1	CMAF	171.0
blackStreamertailDenovo__Unknown__TRINITY_DN2782_c0_g3_i1.p1	MAFA	290.0
blackStreamertailDenovo__Unknown__TRINITY_DN2782_c0_g2_i4.p2	MAFB	311.0
blackStreamertailDenovo__Unknown__TRINITY_DN4329_c0_g2_i2.p2	MAFF	150.0
blackStreamertailDenovo__Unknown__TRINITY_DN9692_c0_g1_i1.p1	MAFG	224.0
blackStreamertailDenovo__Unknown__TRINITY_DN7611_c0_g1_i2.p1	MAFK	191.0
blackStreamertailDenovo__Unknown__TRINITY_DN5602_c1_g1_i2.p1	OTX1	334.0
blackStreamertailDenovo__Unknown__TRINITY_DN11178_c0_g1_i5.p1	OTX2	257.0
hybridStreamertailDenovo__Unknown__TRINITY_DN25847_c0_g2_i1.p1	CMAF	180.0
hybridStreamertailDenovo__Unknown__TRINITY_DN2856_c0_g1_i6.p1	MAFA	290.0
hybridStreamertailDenovo__Unknown__TRINITY_DN2856_c0_g3_i1.p2	MAFB	281.0
hybridStreamertailDenovo__Unknown__TRINITY_DN4972_c0_g1_i4.p3	MAFF	150.0
hybridStreamertailDenovo__Unknown__TRINITY_DN160031_c0_g1_i1.p1	MAFG	163.0
hybridStreamertailDenovo__Unknown__TRINITY_DN6429_c0_g1_i2.p1	MAFK	189.0
hybridStreamertailDenovo__Unknown__TRINITY_DN9632_c2_g1_i2.p1	OTX1	334.0
hybridStreamertailDenovo__Unknown__TRINITY_DN2897_c0_g1_i6.p1	OTX2	290.0
pigeonDenovo__Unknown__TRINITY_DN2568_c2_g1_i1.p1	CMAF	190.0
pigeonDenovo__Unknown__TRINITY_DN1663_c0_g1_i35.p2	CRX	566.0
pigeonDenovo__Unknown__TRINITY_DN3003_c0_g1_i5.p1	MAFA	349.0
pigeonDenovo__Unknown__TRINITY_DN4010_c2_g1_i1.p2	MAFB	312.0
pigeonDenovo__Unknown__TRINITY_DN4784_c0_g1_i2.p2	MAFF	192.0
pigeonDenovo__Unknown__TRINITY_DN17169_c0_g1_i35.p6	MAFG	163.0
pigeonDenovo__Unknown__TRINITY_DN6590_c0_g1_i2.p1	OTX1	334.0
pigeonDenovo__Unknown__TRINITY_DN1663_c0_g1_i35.p2	OTX2	566.0
kiteDenovo__Unknown__TRINITY_DN7220_c0_g5_i1.p1	CMAF	247.0
kiteDenovo__Unknown__TRINITY_DN9052_c0_g2_i6.p2	CRX	536.0
kiteDenovo__Unknown__TRINITY_DN104870_c0_g1_i1.p1	MAFA	289.0
kiteDenovo__Unknown__TRINITY_DN5243_c1_g1_i2.p2	MAFB	312.0
kiteDenovo__Unknown__TRINITY_DN227_c1_g1_i1.p4	MAFF	150.0
kiteDenovo__Unknown__TRINITY_DN2790_c1_g1_i2.p2	MAFG	163.0
kiteDenovo__Unknown__TRINITY_DN2790_c1_g2_i7.p2	MAFK	193.0
kiteDenovo__Unknown__TRINITY_DN5577_c0_g2_i1.p1	OTX1	267.0
kiteDenovo__Unknown__TRINITY_DN9052_c0_g2_i6.p2	OTX2	536.0
vultureDenovo__Unknown__TRINITY_DN1591_c9_g1_i1.p1	CMAF	167.0
vultureDenovo__Unknown__TRINITY_DN675_c2_g1_i6.p1	MAFA	289.0
vultureDenovo__Unknown__TRINITY_DN675_c2_g2_i1.p2	MAFB	312.0
vultureDenovo__Unknown__TRINITY_DN3575_c0_g1_i1.p2	MAFF	173.0
vultureDenovo__Unknown__TRINITY_DN2269_c1_g3_i1.p2	MAFG	163.0
vultureDenovo__Unknown__TRINITY_DN4416_c1_g1_i4.p1	MAFK	190.0
vultureDenovo__Unknown__TRINITY_DN840_c0_g3_i1.p1	OTX1	258.0
vultureDenovo__Unknown__TRINITY_DN840_c0_g2_i1.p2	OTX2	271.0
harrierDenovo__Unknown__TRINITY_DN2231_c2_g2_i1.p2	CMAF	305.0
harrierDenovo__Unknown__TRINITY_DN11420_c0_g2_i6.p1	CRX	320.0
harrierDenovo__Unknown__TRINITY_DN835_c0_g2_i3.p2	MAFB	312.0
harrierDenovo__Unknown__TRINITY_DN3748_c0_g1_i5.p3	MAFF	151.0
harrierDenovo__Unknown__TRINITY_DN1038_c0_g1_i2.p2	MAFG	163.0
harrierDenovo__Unknown__TRINITY_DN1038_c0_g3_i1.p1	MAFK	196.0
harrierDenovo__Unknown__TRINITY_DN152_c0_g2_i1.p1	OTX1	296.0
harrierDenovo__Unknown__TRINITY_DN11420_c0_g2_i6.p1	OTX2	320.0
greyfacedBuzzardDenovo__Unknown__TRINITY_DN1263_c0_g2_i1.p2	CMAF	199.0
greyfacedBuzzardDenovo__Unknown__TRINITY_DN968_c0_g1_i6.p1	MAFA	289.0
greyfacedBuzzardDenovo__Unknown__TRINITY_DN968_c0_g2_i1.p2	MAFB	312.0
greyfacedBuzzardDenovo__Unknown__TRINITY_DN397_c0_g1_i3.p3	MAFF	151.0
greyfacedBuzzardDenovo__Unknown__TRINITY_DN10809_c0_g2_i7.p1	MAFG	178.0
greyfacedBuzzardDenovo__Unknown__TRINITY_DN10809_c0_g1_i1.p1	MAFK	110.0
greyfacedBuzzardDenovo__Unknown__TRINITY_DN1117_c2_g1_i1.p1	OTX1	144.0
greyfacedBuzzardDenovo__Unknown__TRINITY_DN2471_c0_g2_i1.p1	OTX2	290.0
redTailHawkDenovo__Unknown__TRINITY_DN88199_c0_g1_i1.p2	CMAF	161.0
redTailHawkDenovo__Unknown__TRINITY_DN3447_c1_g1_i1.p1	CRX	290.0
redTailHawkDenovo__Unknown__TRINITY_DN11161_c1_g1_i4.p2	MAFA	289.0
redTailHawkDenovo__Unknown__TRINITY_DN11161_c1_g3_i1.p2	MAFB	209.0
redTailHawkDenovo__Unknown__TRINITY_DN12211_c0_g1_i1.p2	MAFF	150.0
redTailHawkDenovo__Unknown__TRINITY_DN5369_c2_g1_i2.p2	MAFG	179.0
redTailHawkDenovo__Unknown__TRINITY_DN958_c1_g1_i1.p1	MAFK	114.0
redTailHawkDenovo__Unknown__TRINITY_DN80566_c0_g1_i1.p1	OTX1	176.0
redTailHawkDenovo__Unknown__TRINITY_DN3447_c1_g1_i1.p1	OTX2	290.0
coopersHawkDenovo__Unknown__TRINITY_DN941_c0_g1_i1.p4	CRX	367.0
coopersHawkDenovo__Unknown__TRINITY_DN4098_c0_g1_i3.p2	MAFA	289.0
coopersHawkDenovo__Unknown__TRINITY_DN4098_c0_g2_i1.p2	MAFB	295.0
coopersHawkDenovo__Unknown__TRINITY_DN96406_c0_g1_i1.p2	MAFF	151.0
coopersHawkDenovo__Unknown__TRINITY_DN5736_c0_g2_i1.p1	MAFG	163.0
coopersHawkDenovo__Unknown__TRINITY_DN5736_c0_g1_i2.p1	MAFK	193.0
coopersHawkDenovo__Unknown__TRINITY_DN941_c0_g1_i1.p4	OTX2	367.0
besraDenovo__Unknown__TRINITY_DN4430_c1_g2_i1.p2	CMAF	197.0
besraDenovo__Unknown__TRINITY_DN1166_c0_g1_i1.p4	CRX	350.0
besraDenovo__Unknown__TRINITY_DN150_c0_g1_i9.p1	MAFA	289.0
besraDenovo__Unknown__TRINITY_DN8404_c0_g1_i1.p2	MAFB	320.0
besraDenovo__Unknown__TRINITY_DN2833_c0_g1_i1.p2	MAFF	151.0
besraDenovo__Unknown__TRINITY_DN1175_c1_g1_i7.p1	MAFK	200.0
besraDenovo__Unknown__TRINITY_DN131_c4_g1_i1.p1	OTX1	212.0
besraDenovo__Unknown__TRINITY_DN257_c3_g1_i1.p1	OTX2	197.0
barnOwlDenovo__Unknown__TRINITY_DN12357_c0_g1_i1.p1	CMAF	154.0
barnOwlDenovo__Unknown__TRINITY_DN1489_c3_g2_i1.p1	CRX	341.0
barnOwlDenovo__Unknown__TRINITY_DN5433_c0_g4_i4.p1	MAFA	318.0
barnOwlDenovo__Unknown__TRINITY_DN5433_c0_g5_i1.p2	MAFB	187.0
barnOwlDenovo__Unknown__TRINITY_DN97191_c0_g1_i2.p3	MAFF	150.0
barnOwlDenovo__Unknown__TRINITY_DN85_c1_g1_i2.p1	MAFK	191.0
barnOwlDenovo__Unknown__TRINITY_DN600_c3_g1_i1.p3	OTX1	135.0
barnOwlDenovo__Unknown__TRINITY_DN1489_c3_g2_i1.p1	OTX2	341.0
grassOwlDenovo__Unknown__TRINITY_DN3346_c1_g5_i1.p1	CMAF	192.0
grassOwlDenovo__Unknown__TRINITY_DN2597_c0_g2_i3.p1	CRX	348.0
grassOwlDenovo__Unknown__TRINITY_DN1060_c0_g2_i4.p1	MAFA	369.0
grassOwlDenovo__Unknown__TRINITY_DN13745_c0_g1_i1.p2	MAFB	312.0
grassOwlDenovo__Unknown__TRINITY_DN6135_c1_g2_i2.p5	MAFF	150.0
grassOwlDenovo__Unknown__TRINITY_DN3390_c0_g1_i4.p2	MAFG	163.0
grassOwlDenovo__Unknown__TRINITY_DN7552_c1_g1_i3.p1	MAFK	210.0
grassOwlDenovo__Unknown__TRINITY_DN1634_c10_g1_i1.p3	OTX1	106.0
grassOwlDenovo__Unknown__TRINITY_DN2597_c0_g2_i3.p1	OTX2	348.0
borealOwlDenovo__Unknown__TRINITY_DN196784_c0_g1_i1.p1	CMAF	184.0
borealOwlDenovo__Unknown__TRINITY_DN2434_c0_g2_i1.p1	CRX	3598.0
borealOwlDenovo__Unknown__TRINITY_DN5782_c0_g1_i3.p1	MAFA	289.0
borealOwlDenovo__Unknown__TRINITY_DN15094_c0_g1_i1.p2	MAFB	287.0
borealOwlDenovo__Unknown__TRINITY_DN37190_c0_g1_i1.p1	MAFF	177.0
borealOwlDenovo__Unknown__TRINITY_DN53056_c0_g1_i1.p1	MAFG	163.0
borealOwlDenovo__Unknown__TRINITY_DN337_c1_g1_i1.p1	MAFK	191.0
borealOwlDenovo__Unknown__TRINITY_DN13169_c0_g1_i4.p1	OTX1	207.0
borealOwlDenovo__Unknown__TRINITY_DN2434_c0_g2_i1.p1	OTX2	3598.0
littleOwlDenovo__Unknown__TRINITY_DN7852_c6_g1_i1.p1	CMAF	255.0
littleOwlDenovo__Unknown__TRINITY_DN5436_c0_g1_i1.p1	CRX	221.0
littleOwlDenovo__Unknown__TRINITY_DN6483_c0_g1_i7.p2	MAFA	289.0
littleOwlDenovo__Unknown__TRINITY_DN6483_c0_g2_i1.p1	MAFB	312.0
littleOwlDenovo__Unknown__TRINITY_DN10802_c0_g1_i7.p3	MAFF	150.0
littleOwlDenovo__Unknown__TRINITY_DN1431_c1_g1_i3.p2	MAFG	163.0
littleOwlDenovo__Unknown__TRINITY_DN1431_c1_g2_i1.p1	MAFK	195.0
littleOwlDenovo__Unknown__TRINITY_DN5212_c2_g1_i1.p1	OTX1	293.0
littleOwlDenovo__Unknown__TRINITY_DN5436_c0_g1_i1.p1	OTX2	221.0
eurasianScopsOwlDenovo__Unknown__TRINITY_DN879_c2_g1_i2.p1	CMAF	207.0
eurasianScopsOwlDenovo__Unknown__TRINITY_DN2515_c0_g4_i1.p2	CRX	189.0
eurasianScopsOwlDenovo__Unknown__TRINITY_DN1996_c0_g1_i7.p2	MAFA	289.0
eurasianScopsOwlDenovo__Unknown__TRINITY_DN4554_c0_g1_i15.p2	MAFB	312.0
eurasianScopsOwlDenovo__Unknown__TRINITY_DN3313_c0_g1_i1.p1	MAFF	192.0
eurasianScopsOwlDenovo__Unknown__TRINITY_DN1943_c0_g1_i4.p1	MAFK	193.0
eurasianScopsOwlDenovo__Unknown__TRINITY_DN5778_c0_g2_i1.p1	OTX1	315.0
eurasianScopsOwlDenovo__Unknown__TRINITY_DN2515_c0_g1_i3.p1	OTX2	297.0
indianScopsOwlDenovo__Unknown__TRINITY_DN3192_c0_g1_i1.p1	CMAF	152.0
indianScopsOwlDenovo__Unknown__TRINITY_DN984_c0_g3_i6.p1	MAFA	289.0
indianScopsOwlDenovo__Unknown__TRINITY_DN984_c0_g1_i1.p2	MAFB	312.0
indianScopsOwlDenovo__Unknown__TRINITY_DN697_c0_g1_i2.p3	MAFF	206.0
indianScopsOwlDenovo__Unknown__TRINITY_DN2608_c3_g1_i2.p1	MAFG	163.0
indianScopsOwlDenovo__Unknown__TRINITY_DN2608_c0_g1_i3.p1	MAFK	191.0
indianScopsOwlDenovo__Unknown__TRINITY_DN28499_c0_g1_i2.p1	OTX1	315.0
indianScopsOwlDenovo__Unknown__TRINITY_DN1435_c0_g2_i4.p1	OTX2	290.0
shortearOwlDenovo__Unknown__TRINITY_DN26776_c0_g1_i1.p1	CMAF	153.0
shortearOwlDenovo__Unknown__TRINITY_DN5484_c0_g1_i4.p1	CRX	383.0
shortearOwlDenovo__Unknown__TRINITY_DN8216_c0_g1_i2.p2	MAFA	289.0
shortearOwlDenovo__Unknown__TRINITY_DN660_c0_g1_i25.p2	MAFB	312.0
shortearOwlDenovo__Unknown__TRINITY_DN186447_c0_g1_i1.p1	MAFF	203.0
shortearOwlDenovo__Unknown__TRINITY_DN10907_c0_g2_i1.p1	MAFG	163.0
shortearOwlDenovo__Unknown__TRINITY_DN10907_c0_g1_i2.p2	MAFK	178.0
shortearOwlDenovo__Unknown__TRINITY_DN181_c0_g1_i1.p3	OTX1	117.0
shortearOwlDenovo__Unknown__TRINITY_DN5484_c0_g1_i4.p1	OTX2	383.0
longearOwlDenovo__Unknown__TRINITY_DN6072_c0_g1_i1.p1	CMAF	207.0
longearOwlDenovo__Unknown__TRINITY_DN15173_c1_g1_i5.p1	CRX	194.0
longearOwlDenovo__Unknown__TRINITY_DN1510_c3_g1_i6.p2	MAFA	289.0
longearOwlDenovo__Unknown__TRINITY_DN1510_c3_g2_i1.p2	MAFB	268.0
longearOwlDenovo__Unknown__TRINITY_DN4268_c0_g3_i2.p1	MAFF	192.0
longearOwlDenovo__Unknown__TRINITY_DN2823_c1_g1_i1.p1	MAFG	163.0
longearOwlDenovo__Unknown__TRINITY_DN2823_c0_g2_i2.p1	MAFK	193.0
longearOwlDenovo__Unknown__TRINITY_DN1034_c0_g1_i1.p1	OTX1	315.0
longearOwlDenovo__Unknown__TRINITY_DN46_c3_g1_i3.p1	OTX2	290.0
screechOwlDenovo__Unknown__TRINITY_DN15528_c0_g1_i1.p1	CMAF	142.0
screechOwlDenovo__Unknown__TRINITY_DN740_c0_g2_i6.p1	CRX	290.0
screechOwlDenovo__Unknown__TRINITY_DN3374_c0_g1_i4.p1	MAFA	289.0
screechOwlDenovo__Unknown__TRINITY_DN3374_c0_g2_i1.p2	MAFB	312.0
screechOwlDenovo__Unknown__TRINITY_DN7326_c0_g1_i3.p1	MAFF	195.0
screechOwlDenovo__Unknown__TRINITY_DN15052_c0_g2_i1.p1	MAFG	163.0
screechOwlDenovo__Unknown__TRINITY_DN15052_c0_g1_i4.p2	MAFK	184.0
screechOwlDenovo__Unknown__TRINITY_DN11427_c1_g2_i1.p1	OTX1	276.0
screechOwlDenovo__Unknown__TRINITY_DN740_c0_g2_i6.p1	OTX2	290.0
barredOwlDenovo__Unknown__TRINITY_DN4571_c1_g1_i2.p1	CMAF	154.0
barredOwlDenovo__Unknown__TRINITY_DN31196_c0_g1_i3.p1	CRX	200.0
barredOwlDenovo__Unknown__TRINITY_DN5402_c0_g1_i5.p2	MAFA	289.0
barredOwlDenovo__Unknown__TRINITY_DN5402_c0_g3_i1.p1	MAFB	409.0
barredOwlDenovo__Unknown__TRINITY_DN5042_c0_g1_i1.p1	MAFF	197.0
barredOwlDenovo__Unknown__TRINITY_DN10510_c0_g3_i1.p1	MAFG	163.0
barredOwlDenovo__Unknown__TRINITY_DN10510_c0_g1_i4.p1	MAFK	191.0
barredOwlDenovo__Unknown__TRINITY_DN8093_c0_g1_i3.p1	NRL	429.0
barredOwlDenovo__Unknown__TRINITY_DN4621_c1_g1_i7.p1	OTX2	376.0
tawnyOwlDenovo__Unknown__TRINITY_DN2720_c0_g1_i5.p1	CRX	297.0
tawnyOwlDenovo__Unknown__TRINITY_DN92_c1_g1_i1.p2	MAFA	289.0
tawnyOwlDenovo__Unknown__TRINITY_DN13035_c0_g1_i1.p2	MAFB	312.0
tawnyOwlDenovo__Unknown__TRINITY_DN18693_c0_g1_i1.p1	MAFF	185.0
tawnyOwlDenovo__Unknown__TRINITY_DN5674_c0_g2_i1.p1	MAFG	163.0
tawnyOwlDenovo__Unknown__TRINITY_DN5674_c0_g1_i1.p1	MAFK	157.0
tawnyOwlDenovo__Unknown__TRINITY_DN3158_c0_g1_i9.p1	OTX1	437.0
tawnyOwlDenovo__Unknown__TRINITY_DN2720_c0_g1_i5.p1	OTX2	297.0
eagleOwlDenovo__Unknown__TRINITY_DN5775_c4_g1_i1.p1	CMAF	208.0
eagleOwlDenovo__Unknown__TRINITY_DN296_c1_g3_i6.p1	CRX	290.0
eagleOwlDenovo__Unknown__TRINITY_DN1503_c0_g3_i8.p2	MAFA	289.0
eagleOwlDenovo__Unknown__TRINITY_DN1503_c0_g2_i1.p1	MAFB	384.0
eagleOwlDenovo__Unknown__TRINITY_DN2538_c0_g1_i1.p2	MAFF	192.0
eagleOwlDenovo__Unknown__TRINITY_DN16114_c0_g1_i3.p1	MAFG	163.0
eagleOwlDenovo__Unknown__TRINITY_DN16114_c0_g2_i4.p1	MAFK	201.0
eagleOwlDenovo__Unknown__TRINITY_DN296_c1_g3_i6.p1	OTX2	290.0
hornedOwlDenovo__Unknown__TRINITY_DN9572_c0_g1_i1.p1	CMAF	152.0
hornedOwlDenovo__Unknown__TRINITY_DN76_c0_g2_i1.p3	CRX	160.0
hornedOwlDenovo__Unknown__TRINITY_DN6111_c0_g2_i1.p2	MAFB	312.0
hornedOwlDenovo__Unknown__TRINITY_DN3969_c0_g1_i1.p2	MAFF	192.0
hornedOwlDenovo__Unknown__TRINITY_DN6225_c0_g1_i1.p2	MAFG	106.0
hornedOwlDenovo__Unknown__TRINITY_DN6225_c1_g1_i7.p1	MAFK	157.0
hornedOwlDenovo__Unknown__TRINITY_DN1551_c1_g2_i1.p1	OTX1	159.0
hornedOwlDenovo__Unknown__TRINITY_DN1551_c1_g1_i4.p1	OTX2	353.0
hoopoeDenovo__Unknown__TRINITY_DN10526_c6_g1_i1.p1	CMAF	209.0
hoopoeDenovo__Unknown__TRINITY_DN6292_c1_g1_i1.p3	CRX	239.0
hoopoeDenovo__Unknown__TRINITY_DN11735_c0_g1_i1.p2	MAFA	171.0
hoopoeDenovo__Unknown__TRINITY_DN3174_c1_g1_i1.p2	MAFB	100.0
hoopoeDenovo__Unknown__TRINITY_DN3185_c0_g3_i1.p1	MAFF	209.0
hoopoeDenovo__Unknown__TRINITY_DN755_c0_g1_i71.p2	MAFG	244.0
hoopoeDenovo__Unknown__TRINITY_DN1239_c0_g1_i5.p1	MAFK	157.0
hoopoeDenovo__Unknown__TRINITY_DN3516_c2_g1_i7.p1	OTX1	336.0
hoopoeDenovo__Unknown__TRINITY_DN6292_c1_g1_i1.p3	OTX2	239.0
woodpeckerDenovo__Unknown__TRINITY_DN1110_c11_g1_i1.p1	CMAF	209.0
woodpeckerDenovo__Unknown__TRINITY_DN3851_c0_g3_i2.p2	CRX	141.0
woodpeckerDenovo__Unknown__TRINITY_DN2795_c1_g1_i1.p1	MAFA	290.0
woodpeckerDenovo__Unknown__TRINITY_DN235_c9_g1_i1.p1	MAFB	251.0
woodpeckerDenovo__Unknown__TRINITY_DN3984_c0_g1_i1.p2	MAFF	150.0
woodpeckerDenovo__Unknown__TRINITY_DN6025_c1_g1_i1.p1	MAFG	163.0
woodpeckerDenovo__Unknown__TRINITY_DN1751_c0_g1_i3.p1	MAFK	249.0
woodpeckerDenovo__Unknown__TRINITY_DN3851_c0_g1_i4.p1	OTX1	296.0
woodpeckerDenovo__Unknown__TRINITY_DN175_c5_g1_i2.p1	OTX2	216.0
budgerigarDenovo__Unknown__TRINITY_DN8103_c4_g1_i1.p1	CMAF	199.0
budgerigarDenovo__Unknown__TRINITY_DN1982_c0_g2_i5.p1	MAFA	289.0
budgerigarDenovo__Unknown__TRINITY_DN1982_c0_g3_i1.p1	MAFB	312.0
budgerigarDenovo__Unknown__TRINITY_DN6568_c0_g1_i3.p4	MAFF	163.0
budgerigarDenovo__Unknown__TRINITY_DN2964_c0_g1_i2.p1	MAFG	107.0
budgerigarDenovo__Unknown__TRINITY_DN2964_c1_g1_i3.p1	MAFK	242.0
budgerigarDenovo__Unknown__TRINITY_DN45182_c1_g1_i1.p1	OTX1	403.0
budgerigarDenovo__Unknown__TRINITY_DN2464_c0_g1_i4.p1	OTX2	415.0
commonKestrelDenovo__Unknown__TRINITY_DN3161_c1_g2_i1.p1	CMAF	187.0
commonKestrelDenovo__Unknown__TRINITY_DN680_c0_g1_i5.p1	CRX	290.0
commonKestrelDenovo__Unknown__TRINITY_DN3104_c0_g3_i1.p1	MAFB	452.0
commonKestrelDenovo__Unknown__TRINITY_DN3772_c0_g1_i2.p4	MAFF	150.0
commonKestrelDenovo__Unknown__TRINITY_DN4236_c1_g1_i1.p2	MAFG	163.0
commonKestrelDenovo__Unknown__TRINITY_DN30535_c0_g1_i2.p1	MAFK	189.0
commonKestrelDenovo__Unknown__TRINITY_DN4675_c0_g1_i2.p1	OTX1	312.0
commonKestrelDenovo__Unknown__TRINITY_DN680_c0_g1_i5.p1	OTX2	290.0
eurasianHobbyDenovo__Unknown__TRINITY_DN2872_c5_g1_i1.p1	CMAF	183.0
eurasianHobbyDenovo__Unknown__TRINITY_DN4604_c0_g2_i8.p2	CRX	288.0
eurasianHobbyDenovo__Unknown__TRINITY_DN2652_c1_g1_i3.p1	MAFA	289.0
eurasianHobbyDenovo__Unknown__TRINITY_DN18289_c2_g1_i1.p1	MAFB	447.0
eurasianHobbyDenovo__Unknown__TRINITY_DN1933_c1_g1_i4.p5	MAFF	159.0
eurasianHobbyDenovo__Unknown__TRINITY_DN2360_c0_g2_i3.p1	MAFK	158.0
eurasianHobbyDenovo__Unknown__TRINITY_DN9387_c1_g1_i3.p1	OTX1	293.0
eurasianHobbyDenovo__Unknown__TRINITY_DN4604_c0_g2_i8.p2	OTX2	288.0
carrionCrowDenovo__Unknown__TRINITY_DN4005_c0_g1_i1.p1	CMAF	152.0
carrionCrowDenovo__Unknown__TRINITY_DN5647_c0_g1_i1.p3	CRX	136.0
carrionCrowDenovo__Unknown__TRINITY_DN551_c0_g1_i1.p2	MAFA	289.0
carrionCrowDenovo__Unknown__TRINITY_DN551_c0_g2_i1.p1	MAFB	312.0
carrionCrowDenovo__Unknown__TRINITY_DN8472_c0_g1_i4.p1	MAFF	150.0
carrionCrowDenovo__Unknown__TRINITY_DN10479_c0_g1_i4.p3	MAFG	163.0
carrionCrowDenovo__Unknown__TRINITY_DN1241_c0_g1_i1.p3	MAFK	191.0
carrionCrowDenovo__Unknown__TRINITY_DN13513_c0_g1_i1.p1	OTX1	291.0
carrionCrowDenovo__Unknown__TRINITY_DN249_c1_g2_i2.p1	OTX2	297.0
hoodedCrowDenovo__Unknown__TRINITY_DN8765_c1_g2_i1.p1	CMAF	189.0
hoodedCrowDenovo__Unknown__TRINITY_DN9383_c0_g1_i7.p2	CRX	247.0
hoodedCrowDenovo__Unknown__TRINITY_DN1269_c0_g1_i4.p2	MAFA	289.0
hoodedCrowDenovo__Unknown__TRINITY_DN1269_c0_g2_i1.p1	MAFB	312.0
hoodedCrowDenovo__Unknown__TRINITY_DN5062_c0_g1_i3.p1	MAFF	150.0
hoodedCrowDenovo__Unknown__TRINITY_DN8811_c0_g1_i6.p4	MAFG	163.0
hoodedCrowDenovo__Unknown__TRINITY_DN860_c0_g1_i2.p3	MAFK	193.0
hoodedCrowDenovo__Unknown__TRINITY_DN9383_c0_g2_i2.p1	OTX1	188.0
